Method,Frequency,Region_From,Region_To,W_Stat,P_value
iPDC,100Hz,AG-L,V3-L,8.0,0.0488
iPDC,100Hz,IPL-R,PMd-R,5.0,0.0195
iPDC,100Hz,PMd-R,M1-L,7.0,0.0371
iPDC,100Hz,PMv-L,FEF-R,7.0,0.0371
iPDC,100Hz,PMv-L,V1-R,6.0,0.0273
iPDC,100Hz,POJ-L,S1-L,4.0,0.0137
iPDC,100Hz,POJ-R,AG-R,2.0,0.0059
iPDC,100Hz,POJ-R,VIP-R,3.0,0.0098
iPDC,100Hz,V1-L,SMA-L,4.0,0.0137
iPDC,100Hz,V3-R,SPOC-R,3.0,0.0098
iPDC,100Hz,V3-R,V3-L,3.0,0.0098
iPDC,100Hz,mIPS-L,V3-R,7.0,0.0371
iPDC,10Hz,AG-R,VIP-R,0.0,0.002
iPDC,10Hz,FEF-R,SPOC-L,2.0,0.0059
iPDC,10Hz,IPL-L,PMv-R,8.0,0.0488
iPDC,10Hz,M1-L,V1-R,3.0,0.0098
iPDC,10Hz,M1-R,mIPS-R,6.0,0.0273
iPDC,10Hz,PMd-L,SPOC-L,7.0,0.0371
iPDC,10Hz,PMd-R,mIPS-R,3.0,0.0098
iPDC,10Hz,PMv-L,SMA-L,7.0,0.0371
iPDC,10Hz,PMv-R,VIP-L,6.0,0.0273
iPDC,10Hz,PMv-R,VIP-R,6.0,0.0273
iPDC,10Hz,SPL-L,SPOC-R,2.0,0.0059
iPDC,10Hz,SPL-R,AG-L,2.0,0.0059
iPDC,10Hz,SPOC-L,M1-R,1.0,0.0039
iPDC,10Hz,STS-L,AG-L,5.0,0.0195
iPDC,10Hz,STS-L,SPL-L,3.0,0.0098
iPDC,10Hz,V1-L,FEF-R,5.0,0.0195
iPDC,10Hz,V1-L,V3-L,5.0,0.0195
iPDC,10Hz,V1-R,AG-R,3.0,0.0098
iPDC,10Hz,V3-L,IPL-R,3.0,0.0098
iPDC,10Hz,V3-R,VIP-L,7.0,0.0371
iPDC,10Hz,VIP-L,VIP-R,4.0,0.0137
iPDC,10Hz,mIPS-R,S1-R,5.0,0.0195
iPDC,10Hz,mIPS-R,STS-R,6.0,0.0273
iPDC,20Hz,AG-L,PMv-L,2.0,0.0059
iPDC,20Hz,AG-R,AG-L,2.0,0.0059
iPDC,20Hz,AG-R,M1-R,0.0,0.002
iPDC,20Hz,FEF-L,PMv-R,4.0,0.0137
iPDC,20Hz,FEF-R,SPOC-L,3.0,0.0098
iPDC,20Hz,IPL-L,PMv-R,3.0,0.0098
iPDC,20Hz,IPL-R,S1-R,1.0,0.0039
iPDC,20Hz,IPL-R,SPL-L,1.0,0.0039
iPDC,20Hz,M1-L,PMv-L,1.0,0.0039
iPDC,20Hz,M1-L,V1-R,6.0,0.0273
iPDC,20Hz,M1-R,mIPS-R,3.0,0.0098
iPDC,20Hz,PMd-R,mIPS-R,7.0,0.0371
iPDC,20Hz,POJ-L,FEF-L,6.0,0.0273
iPDC,20Hz,S1-L,SPOC-R,5.0,0.0195
iPDC,20Hz,SPL-L,SPOC-R,4.0,0.0137
iPDC,20Hz,SPOC-R,IPL-L,0.0,0.002
iPDC,20Hz,SPOC-R,PMv-L,4.0,0.0137
iPDC,20Hz,SPOC-R,SPL-R,0.0,0.002
iPDC,20Hz,V1-L,FEF-R,3.0,0.0098
iPDC,20Hz,V1-R,AG-R,0.0,0.002
iPDC,20Hz,V3-R,VIP-L,7.0,0.0371
iPDC,20Hz,mIPS-R,POJ-R,5.0,0.0195
iPDC,20Hz,mIPS-R,STS-R,3.0,0.0098
iPDC,25Hz,AG-R,AG-L,5.0,0.0195
iPDC,25Hz,AG-R,FEF-L,7.0,0.0371
iPDC,25Hz,AG-R,M1-R,0.0,0.002
iPDC,25Hz,FEF-L,PMv-R,3.0,0.0098
iPDC,25Hz,IPL-L,PMv-R,3.0,0.0098
iPDC,25Hz,IPL-R,S1-R,2.0,0.0059
iPDC,25Hz,PMd-L,mIPS-R,7.0,0.0371
iPDC,25Hz,POJ-L,FEF-L,8.0,0.0488
iPDC,25Hz,S1-R,VIP-R,2.0,0.0059
iPDC,25Hz,SMA-L,M1-L,3.0,0.0098
iPDC,25Hz,SPL-L,SPOC-R,1.0,0.0039
iPDC,25Hz,SPOC-R,IPL-L,0.0,0.002
iPDC,25Hz,SPOC-R,PMv-L,0.0,0.002
iPDC,25Hz,SPOC-R,SPL-R,0.0,0.002
iPDC,25Hz,V1-L,FEF-R,6.0,0.0273
iPDC,25Hz,V1-R,AG-R,1.0,0.0039
iPDC,25Hz,mIPS-R,POJ-R,5.0,0.0195
iPDC,25Hz,mIPS-R,STS-R,1.0,0.0039
