Method,Frequency,Region_From,Region_To,W_Stat,P_value
iPDC,100Hz,AG-L,PMv-R,4.0,0.0137
iPDC,100Hz,IPL-L,V3-R,3.0,0.0098
iPDC,100Hz,PMd-L,mIPS-L,4.0,0.0137
iPDC,100Hz,PMv-R,mIPS-L,5.0,0.0195
iPDC,100Hz,POJ-L,PMd-R,3.0,0.0098
iPDC,100Hz,POJ-L,S1-L,5.0,0.0195
iPDC,100Hz,POJ-L,STS-L,6.0,0.0273
iPDC,100Hz,POJ-R,POJ-L,5.0,0.0195
iPDC,100Hz,S1-L,PMd-R,5.0,0.0195
iPDC,100Hz,S1-R,V3-R,1.0,0.0039
iPDC,100Hz,V1-L,SMA-R,8.0,0.0488
iPDC,100Hz,V3-R,SPL-L,1.0,0.0039
iPDC,100Hz,V3-R,mIPS-L,0.0,0.002
iPDC,100Hz,VIP-L,S1-L,5.0,0.0195
iPDC,100Hz,VIP-R,STS-R,8.0,0.0488
iPDC,100Hz,mIPS-L,S1-L,7.0,0.0371
iPDC,10Hz,AG-R,PMd-L,3.0,0.0098
iPDC,10Hz,IPL-L,PMd-L,6.0,0.0273
iPDC,10Hz,IPL-L,SPOC-L,2.0,0.0059
iPDC,10Hz,M1-L,IPL-L,3.0,0.0098
iPDC,10Hz,M1-R,IPL-L,6.0,0.0273
iPDC,10Hz,PMd-L,PMv-L,5.0,0.0195
iPDC,10Hz,PMd-L,SPL-L,7.0,0.0371
iPDC,10Hz,PMv-R,mIPS-L,4.0,0.0137
iPDC,10Hz,POJ-R,M1-R,4.0,0.0137
iPDC,10Hz,S1-R,V3-L,8.0,0.0488
iPDC,10Hz,SMA-L,IPL-L,6.0,0.0273
iPDC,10Hz,SMA-R,IPL-R,2.0,0.0059
iPDC,10Hz,SPOC-L,FEF-L,2.0,0.0059
iPDC,10Hz,STS-L,PMv-L,6.0,0.0273
iPDC,10Hz,STS-L,SPL-L,2.0,0.0059
iPDC,10Hz,STS-R,PMd-L,1.0,0.0039
iPDC,10Hz,V3-L,AG-L,6.0,0.0273
iPDC,10Hz,V3-L,PMv-L,6.0,0.0273
iPDC,10Hz,V3-R,PMv-R,3.0,0.0098
iPDC,10Hz,mIPS-R,S1-L,4.0,0.0137
iPDC,20Hz,AG-R,PMd-L,0.0,0.002
iPDC,20Hz,M1-R,IPL-L,4.0,0.0137
iPDC,20Hz,PMd-L,PMv-L,1.0,0.0039
iPDC,20Hz,PMd-R,SPOC-L,0.0,0.002
iPDC,20Hz,POJ-R,V3-R,4.0,0.0137
iPDC,20Hz,S1-R,V3-L,4.0,0.0137
iPDC,20Hz,SMA-L,IPL-L,5.0,0.0195
iPDC,20Hz,SMA-R,IPL-R,3.0,0.0098
iPDC,20Hz,SPL-R,SPOC-R,3.0,0.0098
iPDC,20Hz,STS-L,SPL-L,1.0,0.0039
iPDC,20Hz,STS-R,V3-L,5.0,0.0195
iPDC,20Hz,V1-R,SPL-R,4.0,0.0137
iPDC,20Hz,VIP-R,AG-R,3.0,0.0098
iPDC,20Hz,mIPS-L,POJ-L,7.0,0.0371
iPDC,20Hz,mIPS-R,S1-L,1.0,0.0039
iPDC,25Hz,M1-L,STS-R,8.0,0.0488
iPDC,25Hz,M1-R,IPL-L,8.0,0.0488
iPDC,25Hz,PMd-L,PMv-L,1.0,0.0039
iPDC,25Hz,POJ-L,M1-L,2.0,0.0059
iPDC,25Hz,POJ-L,PMd-R,3.0,0.0098
iPDC,25Hz,POJ-R,V3-R,3.0,0.0098
iPDC,25Hz,S1-L,STS-R,8.0,0.0488
iPDC,25Hz,S1-R,V3-L,5.0,0.0195
iPDC,25Hz,SMA-L,IPL-L,5.0,0.0195
iPDC,25Hz,SMA-R,IPL-R,3.0,0.0098
iPDC,25Hz,SPL-R,SPOC-R,3.0,0.0098
iPDC,25Hz,STS-L,SPL-L,0.0,0.002
iPDC,25Hz,STS-R,V3-L,4.0,0.0137
iPDC,25Hz,V3-L,mIPS-L,8.0,0.0488
iPDC,25Hz,VIP-R,AG-R,5.0,0.0195
iPDC,25Hz,mIPS-L,POJ-L,6.0,0.0273
iPDC,25Hz,mIPS-R,S1-L,1.0,0.0039
