Method,Frequency,Region_From,Region_To,W_Stat,P_value
gPDC,100Hz,AG-R,S1-R,6.0,0.0273
gPDC,100Hz,AG-R,STS-R,5.0,0.0195
gPDC,100Hz,IPL-R,V1-L,8.0,0.0488
gPDC,100Hz,PMd-L,mIPS-L,7.0,0.0371
gPDC,100Hz,PMv-L,mIPS-L,2.0,0.0059
gPDC,100Hz,POJ-L,IPL-R,5.0,0.0195
gPDC,100Hz,POJ-L,STS-L,5.0,0.0195
gPDC,100Hz,POJ-L,V3-L,5.0,0.0195
gPDC,100Hz,POJ-R,POJ-L,1.0,0.0039
gPDC,100Hz,S1-L,PMd-R,6.0,0.0273
gPDC,100Hz,S1-R,V3-R,0.0,0.002
gPDC,100Hz,SPL-L,AG-R,4.0,0.0137
gPDC,100Hz,SPL-L,SPOC-R,4.0,0.0137
gPDC,100Hz,SPOC-L,IPL-L,5.0,0.0195
gPDC,100Hz,V3-R,mIPS-L,0.0,0.002
gPDC,100Hz,VIP-L,S1-L,5.0,0.0195
gPDC,100Hz,VIP-R,STS-R,0.0,0.002
gPDC,10Hz,AG-R,PMd-L,6.0,0.0273
gPDC,10Hz,IPL-L,PMd-L,3.0,0.0098
gPDC,10Hz,M1-L,IPL-R,7.0,0.0371
gPDC,10Hz,PMd-L,PMv-L,4.0,0.0137
gPDC,10Hz,PMd-L,SPL-L,7.0,0.0371
gPDC,10Hz,PMv-L,IPL-L,6.0,0.0273
gPDC,10Hz,PMv-R,mIPS-L,2.0,0.0059
gPDC,10Hz,POJ-R,M1-R,5.0,0.0195
gPDC,10Hz,SMA-L,IPL-L,3.0,0.0098
gPDC,10Hz,SMA-L,SPL-R,7.0,0.0371
gPDC,10Hz,SMA-R,IPL-R,2.0,0.0059
gPDC,10Hz,SPL-R,IPL-R,5.0,0.0195
gPDC,10Hz,SPOC-L,FEF-L,1.0,0.0039
gPDC,10Hz,SPOC-R,S1-R,2.0,0.0059
gPDC,10Hz,STS-L,PMv-L,7.0,0.0371
gPDC,10Hz,STS-L,SPL-L,3.0,0.0098
gPDC,10Hz,STS-R,PMd-L,1.0,0.0039
gPDC,10Hz,STS-R,S1-R,3.0,0.0098
gPDC,10Hz,V3-L,AG-L,8.0,0.0488
gPDC,10Hz,V3-L,PMv-L,5.0,0.0195
gPDC,20Hz,PMd-L,PMv-L,1.0,0.0039
gPDC,20Hz,PMd-L,SPL-L,7.0,0.0371
gPDC,20Hz,PMd-R,SPOC-L,0.0,0.002
gPDC,20Hz,POJ-R,M1-L,6.0,0.0273
gPDC,20Hz,POJ-R,V3-R,7.0,0.0371
gPDC,20Hz,SMA-L,IPL-L,3.0,0.0098
gPDC,20Hz,SMA-R,IPL-R,2.0,0.0059
gPDC,20Hz,SPL-R,AG-R,3.0,0.0098
gPDC,20Hz,SPL-R,IPL-R,0.0,0.002
gPDC,20Hz,SPL-R,SPOC-R,0.0,0.002
gPDC,20Hz,STS-L,SPL-L,4.0,0.0137
gPDC,20Hz,STS-L,mIPS-R,1.0,0.0039
gPDC,20Hz,V1-R,SPL-R,3.0,0.0098
gPDC,20Hz,V3-L,AG-L,6.0,0.0273
gPDC,20Hz,V3-L,mIPS-L,6.0,0.0273
gPDC,20Hz,mIPS-L,POJ-L,8.0,0.0488
gPDC,25Hz,M1-L,M1-R,8.0,0.0488
gPDC,25Hz,PMd-L,PMv-L,1.0,0.0039
gPDC,25Hz,PMd-R,SPOC-L,0.0,0.002
gPDC,25Hz,POJ-L,M1-L,3.0,0.0098
gPDC,25Hz,POJ-R,V3-R,5.0,0.0195
gPDC,25Hz,S1-L,SMA-L,8.0,0.0488
gPDC,25Hz,SMA-L,IPL-L,4.0,0.0137
gPDC,25Hz,SMA-R,IPL-R,3.0,0.0098
gPDC,25Hz,SPL-R,AG-R,6.0,0.0273
gPDC,25Hz,SPL-R,IPL-R,0.0,0.002
gPDC,25Hz,SPL-R,SPOC-R,0.0,0.002
gPDC,25Hz,STS-L,SPL-L,6.0,0.0273
gPDC,25Hz,STS-L,mIPS-R,2.0,0.0059
gPDC,25Hz,V3-L,AG-L,3.0,0.0098
gPDC,25Hz,V3-L,mIPS-L,3.0,0.0098
gPDC,25Hz,VIP-L,FEF-L,7.0,0.0371
gPDC,25Hz,mIPS-L,POJ-L,7.0,0.0371
