Method,Frequency,Region_From,Region_To,W_Stat,P_value
iPDC,100Hz,AG-L,SPL-R,5.0,0.0195
iPDC,100Hz,AG-L,SPOC-R,3.0,0.0098
iPDC,100Hz,IPL-R,SPL-R,3.0,0.0098
iPDC,100Hz,PMv-L,M1-R,7.0,0.0371
iPDC,100Hz,PMv-L,SPOC-L,6.0,0.0273
iPDC,100Hz,PMv-R,mIPS-L,2.0,0.0059
iPDC,100Hz,S1-L,VIP-L,7.0,0.0371
iPDC,100Hz,S1-R,FEF-R,1.0,0.0039
iPDC,100Hz,SPL-L,PMv-R,5.0,0.0195
iPDC,100Hz,SPL-L,S1-L,8.0,0.0488
iPDC,100Hz,SPL-R,PMd-R,2.0,0.0059
iPDC,100Hz,SPL-R,VIP-R,7.0,0.0371
iPDC,100Hz,SPOC-L,FEF-L,8.0,0.0488
iPDC,100Hz,V1-L,SPOC-L,4.0,0.0137
iPDC,100Hz,V3-R,S1-L,4.0,0.0137
iPDC,100Hz,VIP-L,SPL-L,8.0,0.0488
iPDC,10Hz,AG-R,S1-L,3.0,0.0098
iPDC,10Hz,AG-R,VIP-R,3.0,0.0098
iPDC,10Hz,FEF-R,PMd-R,8.0,0.0488
iPDC,10Hz,IPL-L,POJ-R,8.0,0.0488
iPDC,10Hz,M1-L,V3-R,6.0,0.0273
iPDC,10Hz,M1-R,VIP-L,6.0,0.0273
iPDC,10Hz,PMv-R,M1-R,2.0,0.0059
iPDC,10Hz,POJ-L,V3-R,6.0,0.0273
iPDC,10Hz,POJ-R,SMA-R,6.0,0.0273
iPDC,10Hz,POJ-R,V3-R,4.0,0.0137
iPDC,10Hz,SMA-L,AG-L,7.0,0.0371
iPDC,10Hz,SPL-L,V1-R,5.0,0.0195
iPDC,10Hz,SPOC-R,SMA-R,4.0,0.0137
iPDC,10Hz,STS-L,SMA-L,6.0,0.0273
iPDC,10Hz,STS-L,V1-L,8.0,0.0488
iPDC,10Hz,STS-R,M1-R,2.0,0.0059
iPDC,10Hz,V1-R,PMd-L,0.0,0.002
iPDC,10Hz,V3-L,SPL-L,7.0,0.0371
iPDC,10Hz,VIP-R,S1-L,6.0,0.0273
iPDC,10Hz,mIPS-L,V3-L,6.0,0.0273
iPDC,10Hz,mIPS-R,V3-R,5.0,0.0195
iPDC,20Hz,AG-R,mIPS-R,7.0,0.0371
iPDC,20Hz,M1-L,POJ-L,3.0,0.0098
iPDC,20Hz,M1-R,VIP-L,6.0,0.0273
iPDC,20Hz,PMd-L,PMv-L,3.0,0.0098
iPDC,20Hz,PMd-R,IPL-R,5.0,0.0195
iPDC,20Hz,PMv-R,M1-R,1.0,0.0039
iPDC,20Hz,POJ-R,SMA-R,6.0,0.0273
iPDC,20Hz,POJ-R,V3-R,0.0,0.002
iPDC,20Hz,SPOC-L,POJ-R,4.0,0.0137
iPDC,20Hz,SPOC-R,STS-L,5.0,0.0195
iPDC,20Hz,STS-R,SPL-R,8.0,0.0488
iPDC,20Hz,V1-R,PMd-L,0.0,0.002
iPDC,20Hz,VIP-R,POJ-R,8.0,0.0488
iPDC,20Hz,mIPS-R,V3-R,3.0,0.0098
iPDC,25Hz,M1-L,POJ-L,3.0,0.0098
iPDC,25Hz,PMd-L,PMv-L,3.0,0.0098
iPDC,25Hz,PMd-R,IPL-R,5.0,0.0195
iPDC,25Hz,PMv-R,IPL-R,7.0,0.0371
iPDC,25Hz,PMv-R,M1-R,1.0,0.0039
iPDC,25Hz,POJ-R,V3-R,1.0,0.0039
iPDC,25Hz,STS-R,SPL-R,8.0,0.0488
iPDC,25Hz,V1-R,SMA-R,7.0,0.0371
iPDC,25Hz,VIP-R,POJ-R,4.0,0.0137
iPDC,25Hz,mIPS-R,V3-R,4.0,0.0137
