MEG Signal Analysis - Enhanced Heatmaps Comparison
===============================================
Selected dataset: DataSet2_unc
Output directory: Heatmaps\DataSet2_unc\Heatmaps_Comparison_normalized
Process started at: 2025-02-06 10:17:32
-----------------------------------------------

Global maximum value: 0.1448056599446376

Processing alignment: cue
Created heatmap: Heatmaps\DataSet2_unc\Heatmaps_Comparison_normalized\cue_gDTF_10Hz_comparison_normalized.png
Created heatmap: Heatmaps\DataSet2_unc\Heatmaps_Comparison_normalized\cue_gDTF_10Hz_DOC_comparison_normalized.png
Created heatmap: Heatmaps\DataSet2_unc\Heatmaps_Comparison_normalized\cue_gDTF_10Hz_GB_comparison_normalized.png
Created heatmap: Heatmaps\DataSet2_unc\Heatmaps_Comparison_normalized\cue_gDTF_10Hz_JDC_comparison_normalized.png
Created heatmap: Heatmaps\DataSet2_unc\Heatmaps_Comparison_normalized\cue_gDTF_10Hz_JFXD_comparison_normalized.png
Created heatmap: Heatmaps\DataSet2_unc\Heatmaps_Comparison_normalized\cue_gDTF_10Hz_JZ_comparison_normalized.png
Created heatmap: Heatmaps\DataSet2_unc\Heatmaps_Comparison_normalized\cue_gDTF_10Hz_LT_comparison_normalized.png
Created heatmap: Heatmaps\DataSet2_unc\Heatmaps_Comparison_normalized\cue_gDTF_10Hz_NvA_comparison_normalized.png
Created heatmap: Heatmaps\DataSet2_unc\Heatmaps_Comparison_normalized\cue_gDTF_10Hz_RR_comparison_normalized.png
Created heatmap: Heatmaps\DataSet2_unc\Heatmaps_Comparison_normalized\cue_gDTF_10Hz_SJB_comparison_normalized.png
Created heatmap: Heatmaps\DataSet2_unc\Heatmaps_Comparison_normalized\cue_gDTF_10Hz_BG_comparison_normalized.png
Created heatmap: Heatmaps\DataSet2_unc\Heatmaps_Comparison_normalized\cue_gDTF_20Hz_comparison_normalized.png
Created heatmap: Heatmaps\DataSet2_unc\Heatmaps_Comparison_normalized\cue_gDTF_20Hz_DOC_comparison_normalized.png
Created heatmap: Heatmaps\DataSet2_unc\Heatmaps_Comparison_normalized\cue_gDTF_20Hz_GB_comparison_normalized.png
Created heatmap: Heatmaps\DataSet2_unc\Heatmaps_Comparison_normalized\cue_gDTF_20Hz_JDC_comparison_normalized.png
Created heatmap: Heatmaps\DataSet2_unc\Heatmaps_Comparison_normalized\cue_gDTF_20Hz_JFXD_comparison_normalized.png
Created heatmap: Heatmaps\DataSet2_unc\Heatmaps_Comparison_normalized\cue_gDTF_20Hz_JZ_comparison_normalized.png
Created heatmap: Heatmaps\DataSet2_unc\Heatmaps_Comparison_normalized\cue_gDTF_20Hz_LT_comparison_normalized.png
Created heatmap: Heatmaps\DataSet2_unc\Heatmaps_Comparison_normalized\cue_gDTF_20Hz_NvA_comparison_normalized.png
Created heatmap: Heatmaps\DataSet2_unc\Heatmaps_Comparison_normalized\cue_gDTF_20Hz_RR_comparison_normalized.png
Created heatmap: Heatmaps\DataSet2_unc\Heatmaps_Comparison_normalized\cue_gDTF_20Hz_SJB_comparison_normalized.png
Created heatmap: Heatmaps\DataSet2_unc\Heatmaps_Comparison_normalized\cue_gDTF_20Hz_BG_comparison_normalized.png
Created heatmap: Heatmaps\DataSet2_unc\Heatmaps_Comparison_normalized\cue_gDTF_100Hz_comparison_normalized.png
Created heatmap: Heatmaps\DataSet2_unc\Heatmaps_Comparison_normalized\cue_gDTF_100Hz_DOC_comparison_normalized.png
Created heatmap: Heatmaps\DataSet2_unc\Heatmaps_Comparison_normalized\cue_gDTF_100Hz_GB_comparison_normalized.png
Created heatmap: Heatmaps\DataSet2_unc\Heatmaps_Comparison_normalized\cue_gDTF_100Hz_JDC_comparison_normalized.png
Created heatmap: Heatmaps\DataSet2_unc\Heatmaps_Comparison_normalized\cue_gDTF_100Hz_JFXD_comparison_normalized.png
Created heatmap: Heatmaps\DataSet2_unc\Heatmaps_Comparison_normalized\cue_gDTF_100Hz_JZ_comparison_normalized.png
Created heatmap: Heatmaps\DataSet2_unc\Heatmaps_Comparison_normalized\cue_gDTF_100Hz_LT_comparison_normalized.png
Created heatmap: Heatmaps\DataSet2_unc\Heatmaps_Comparison_normalized\cue_gDTF_100Hz_NvA_comparison_normalized.png
Created heatmap: Heatmaps\DataSet2_unc\Heatmaps_Comparison_normalized\cue_gDTF_100Hz_RR_comparison_normalized.png
Created heatmap: Heatmaps\DataSet2_unc\Heatmaps_Comparison_normalized\cue_gDTF_100Hz_SJB_comparison_normalized.png
Created heatmap: Heatmaps\DataSet2_unc\Heatmaps_Comparison_normalized\cue_gDTF_100Hz_BG_comparison_normalized.png
Created heatmap: Heatmaps\DataSet2_unc\Heatmaps_Comparison_normalized\cue_iPDC_10Hz_comparison_normalized.png
Created heatmap: Heatmaps\DataSet2_unc\Heatmaps_Comparison_normalized\cue_iPDC_10Hz_DOC_comparison_normalized.png
Created heatmap: Heatmaps\DataSet2_unc\Heatmaps_Comparison_normalized\cue_iPDC_10Hz_GB_comparison_normalized.png
Created heatmap: Heatmaps\DataSet2_unc\Heatmaps_Comparison_normalized\cue_iPDC_10Hz_JDC_comparison_normalized.png
Created heatmap: Heatmaps\DataSet2_unc\Heatmaps_Comparison_normalized\cue_iPDC_10Hz_JFXD_comparison_normalized.png
Created heatmap: Heatmaps\DataSet2_unc\Heatmaps_Comparison_normalized\cue_iPDC_10Hz_JZ_comparison_normalized.png
