dataset,movement,frequency_folder_cat,frequency_folder_mean,hz,participant,condition,n_edges,spearman_rho,spearman_p,cat_file_dir,mean_file_dir
DataSet31_Align_mov,mov,msc_cat_10Hz,msc_mean_10Hz,10Hz,BG,ProL,496,0.8339277109381606,1.2651842468849718e-129,/Users/andy/Desktop/MEG_shared/Data/DataSet31_Align_mov/mov/Left_movement/msc_cat_10Hz/BG,/Users/andy/Desktop/MEG_shared/Data/DataSet31_Align_mov/mov/Left_movement/msc_mean_10Hz/BG
DataSet31_Align_mov,mov,msc_cat_10Hz,msc_mean_10Hz,10Hz,BG,ProR,496,0.8339277109381606,1.2651842468849718e-129,/Users/andy/Desktop/MEG_shared/Data/DataSet31_Align_mov/mov/Right_movement/msc_cat_10Hz/BG,/Users/andy/Desktop/MEG_shared/Data/DataSet31_Align_mov/mov/Right_movement/msc_mean_10Hz/BG
DataSet31_Align_mov,mov,msc_cat_10Hz,msc_mean_10Hz,10Hz,BG,AntiL,496,0.848743487316863,8.583293753706607e-139,/Users/andy/Desktop/MEG_shared/Data/DataSet31_Align_mov/mov/Left_movement/msc_cat_10Hz/BG,/Users/andy/Desktop/MEG_shared/Data/DataSet31_Align_mov/mov/Left_movement/msc_mean_10Hz/BG
DataSet31_Align_mov,mov,msc_cat_10Hz,msc_mean_10Hz,10Hz,BG,AntiR,496,0.848743487316863,8.583293753706607e-139,/Users/andy/Desktop/MEG_shared/Data/DataSet31_Align_mov/mov/Right_movement/msc_cat_10Hz/BG,/Users/andy/Desktop/MEG_shared/Data/DataSet31_Align_mov/mov/Right_movement/msc_mean_10Hz/BG
DataSet31_Align_mov,mov,msc_cat_10Hz,msc_mean_10Hz,10Hz,DOC,ProL,496,0.8470859369314616,1.0172184355113281e-137,/Users/andy/Desktop/MEG_shared/Data/DataSet31_Align_mov/mov/Left_movement/msc_cat_10Hz/DOC,/Users/andy/Desktop/MEG_shared/Data/DataSet31_Align_mov/mov/Left_movement/msc_mean_10Hz/DOC
DataSet31_Align_mov,mov,msc_cat_10Hz,msc_mean_10Hz,10Hz,DOC,ProR,496,0.8470859369314616,1.0172184355113281e-137,/Users/andy/Desktop/MEG_shared/Data/DataSet31_Align_mov/mov/Right_movement/msc_cat_10Hz/DOC,/Users/andy/Desktop/MEG_shared/Data/DataSet31_Align_mov/mov/Right_movement/msc_mean_10Hz/DOC
DataSet31_Align_mov,mov,msc_cat_10Hz,msc_mean_10Hz,10Hz,DOC,AntiL,496,0.8381109727770336,4.052312922953003e-132,/Users/andy/Desktop/MEG_shared/Data/DataSet31_Align_mov/mov/Left_movement/msc_cat_10Hz/DOC,/Users/andy/Desktop/MEG_shared/Data/DataSet31_Align_mov/mov/Left_movement/msc_mean_10Hz/DOC
DataSet31_Align_mov,mov,msc_cat_10Hz,msc_mean_10Hz,10Hz,DOC,AntiR,496,0.8381109727770336,4.052312922953003e-132,/Users/andy/Desktop/MEG_shared/Data/DataSet31_Align_mov/mov/Right_movement/msc_cat_10Hz/DOC,/Users/andy/Desktop/MEG_shared/Data/DataSet31_Align_mov/mov/Right_movement/msc_mean_10Hz/DOC
DataSet31_Align_mov,mov,msc_cat_10Hz,msc_mean_10Hz,10Hz,GB,ProL,496,0.617357517539253,1.9405117399426976e-53,/Users/andy/Desktop/MEG_shared/Data/DataSet31_Align_mov/mov/Left_movement/msc_cat_10Hz/GB,/Users/andy/Desktop/MEG_shared/Data/DataSet31_Align_mov/mov/Left_movement/msc_mean_10Hz/GB
DataSet31_Align_mov,mov,msc_cat_10Hz,msc_mean_10Hz,10Hz,GB,ProR,496,0.617357517539253,1.9405117399426976e-53,/Users/andy/Desktop/MEG_shared/Data/DataSet31_Align_mov/mov/Right_movement/msc_cat_10Hz/GB,/Users/andy/Desktop/MEG_shared/Data/DataSet31_Align_mov/mov/Right_movement/msc_mean_10Hz/GB
DataSet31_Align_mov,mov,msc_cat_10Hz,msc_mean_10Hz,10Hz,GB,AntiL,496,0.5879955195493586,1.8810076923033324e-47,/Users/andy/Desktop/MEG_shared/Data/DataSet31_Align_mov/mov/Left_movement/msc_cat_10Hz/GB,/Users/andy/Desktop/MEG_shared/Data/DataSet31_Align_mov/mov/Left_movement/msc_mean_10Hz/GB
DataSet31_Align_mov,mov,msc_cat_10Hz,msc_mean_10Hz,10Hz,GB,AntiR,496,0.5879955195493586,1.8810076923033324e-47,/Users/andy/Desktop/MEG_shared/Data/DataSet31_Align_mov/mov/Right_movement/msc_cat_10Hz/GB,/Users/andy/Desktop/MEG_shared/Data/DataSet31_Align_mov/mov/Right_movement/msc_mean_10Hz/GB
DataSet31_Align_mov,mov,msc_cat_10Hz,msc_mean_10Hz,10Hz,JDC,ProL,496,0.8628166850565759,1.836864226895008e-148,/Users/andy/Desktop/MEG_shared/Data/DataSet31_Align_mov/mov/Left_movement/msc_cat_10Hz/JDC,/Users/andy/Desktop/MEG_shared/Data/DataSet31_Align_mov/mov/Left_movement/msc_mean_10Hz/JDC
DataSet31_Align_mov,mov,msc_cat_10Hz,msc_mean_10Hz,10Hz,JDC,ProR,496,0.8628166850565759,1.836864226895008e-148,/Users/andy/Desktop/MEG_shared/Data/DataSet31_Align_mov/mov/Right_movement/msc_cat_10Hz/JDC,/Users/andy/Desktop/MEG_shared/Data/DataSet31_Align_mov/mov/Right_movement/msc_mean_10Hz/JDC
DataSet31_Align_mov,mov,msc_cat_10Hz,msc_mean_10Hz,10Hz,JDC,AntiL,496,0.8538548003563904,3.46445456780655e-142,/Users/andy/Desktop/MEG_shared/Data/DataSet31_Align_mov/mov/Left_movement/msc_cat_10Hz/JDC,/Users/andy/Desktop/MEG_shared/Data/DataSet31_Align_mov/mov/Left_movement/msc_mean_10Hz/JDC
DataSet31_Align_mov,mov,msc_cat_10Hz,msc_mean_10Hz,10Hz,JDC,AntiR,496,0.8538548003563904,3.46445456780655e-142,/Users/andy/Desktop/MEG_shared/Data/DataSet31_Align_mov/mov/Right_movement/msc_cat_10Hz/JDC,/Users/andy/Desktop/MEG_shared/Data/DataSet31_Align_mov/mov/Right_movement/msc_mean_10Hz/JDC
DataSet31_Align_mov,mov,msc_cat_10Hz,msc_mean_10Hz,10Hz,JFXD,ProL,496,0.9381185450926478,1.2046768194767086e-229,/Users/andy/Desktop/MEG_shared/Data/DataSet31_Align_mov/mov/Left_movement/msc_cat_10Hz/JFXD,/Users/andy/Desktop/MEG_shared/Data/DataSet31_Align_mov/mov/Left_movement/msc_mean_10Hz/JFXD
DataSet31_Align_mov,mov,msc_cat_10Hz,msc_mean_10Hz,10Hz,JFXD,ProR,496,0.9381185450926478,1.2046768194767086e-229,/Users/andy/Desktop/MEG_shared/Data/DataSet31_Align_mov/mov/Right_movement/msc_cat_10Hz/JFXD,/Users/andy/Desktop/MEG_shared/Data/DataSet31_Align_mov/mov/Right_movement/msc_mean_10Hz/JFXD
DataSet31_Align_mov,mov,msc_cat_10Hz,msc_mean_10Hz,10Hz,JFXD,AntiL,496,0.925670051590088,1.141416703981358e-210,/Users/andy/Desktop/MEG_shared/Data/DataSet31_Align_mov/mov/Left_movement/msc_cat_10Hz/JFXD,/Users/andy/Desktop/MEG_shared/Data/DataSet31_Align_mov/mov/Left_movement/msc_mean_10Hz/JFXD
DataSet31_Align_mov,mov,msc_cat_10Hz,msc_mean_10Hz,10Hz,JFXD,AntiR,496,0.925670051590088,1.141416703981358e-210,/Users/andy/Desktop/MEG_shared/Data/DataSet31_Align_mov/mov/Right_movement/msc_cat_10Hz/JFXD,/Users/andy/Desktop/MEG_shared/Data/DataSet31_Align_mov/mov/Right_movement/msc_mean_10Hz/JFXD
DataSet31_Align_mov,mov,msc_cat_10Hz,msc_mean_10Hz,10Hz,JZ,ProL,496,0.8521389333065844,4.934959526266779e-141,/Users/andy/Desktop/MEG_shared/Data/DataSet31_Align_mov/mov/Left_movement/msc_cat_10Hz/JZ,/Users/andy/Desktop/MEG_shared/Data/DataSet31_Align_mov/mov/Left_movement/msc_mean_10Hz/JZ
DataSet31_Align_mov,mov,msc_cat_10Hz,msc_mean_10Hz,10Hz,JZ,ProR,496,0.8521389333065844,4.934959526266779e-141,/Users/andy/Desktop/MEG_shared/Data/DataSet31_Align_mov/mov/Right_movement/msc_cat_10Hz/JZ,/Users/andy/Desktop/MEG_shared/Data/DataSet31_Align_mov/mov/Right_movement/msc_mean_10Hz/JZ
