Method,Frequency,Region_From,Region_To,W_Stat,P_value
iPDC,100Hz,AG-L,SPL-R,7.0,0.0371
iPDC,100Hz,AG-L,SPOC-R,3.0,0.0098
iPDC,100Hz,AG-L,V1-R,8.0,0.0488
iPDC,100Hz,FEF-L,PMv-R,6.0,0.0273
iPDC,100Hz,FEF-R,FEF-L,8.0,0.0488
iPDC,100Hz,FEF-R,mIPS-L,8.0,0.0488
iPDC,100Hz,IPL-R,SPL-R,4.0,0.0137
iPDC,100Hz,M1-L,POJ-R,7.0,0.0371
iPDC,100Hz,M1-R,AG-L,3.0,0.0098
iPDC,100Hz,PMd-L,PMv-R,7.0,0.0371
iPDC,100Hz,PMv-L,M1-R,7.0,0.0371
iPDC,100Hz,PMv-L,PMv-R,2.0,0.0059
iPDC,100Hz,PMv-L,SPOC-L,8.0,0.0488
iPDC,100Hz,PMv-R,mIPS-L,4.0,0.0137
iPDC,100Hz,POJ-L,V1-R,4.0,0.0137
iPDC,100Hz,POJ-L,VIP-R,6.0,0.0273
iPDC,100Hz,POJ-R,VIP-R,7.0,0.0371
iPDC,100Hz,S1-L,VIP-L,5.0,0.0195
iPDC,100Hz,S1-R,FEF-R,1.0,0.0039
iPDC,100Hz,S1-R,SPOC-R,8.0,0.0488
iPDC,100Hz,SPL-L,PMv-R,5.0,0.0195
iPDC,100Hz,SPL-L,S1-L,6.0,0.0273
iPDC,100Hz,SPL-R,PMd-R,7.0,0.0371
iPDC,100Hz,SPL-R,S1-R,0.0,0.002
iPDC,100Hz,SPL-R,VIP-R,6.0,0.0273
iPDC,100Hz,SPOC-L,FEF-L,3.0,0.0098
iPDC,100Hz,SPOC-R,SMA-R,6.0,0.0273
iPDC,100Hz,SPOC-R,V3-L,8.0,0.0488
iPDC,100Hz,STS-L,M1-L,2.0,0.0059
iPDC,100Hz,STS-L,S1-L,8.0,0.0488
iPDC,100Hz,STS-R,V3-R,7.0,0.0371
iPDC,100Hz,V1-L,PMd-L,7.0,0.0371
iPDC,100Hz,V1-L,S1-L,6.0,0.0273
iPDC,100Hz,V1-L,SPOC-L,2.0,0.0059
iPDC,100Hz,V1-L,V1-R,7.0,0.0371
iPDC,100Hz,V1-R,IPL-R,8.0,0.0488
iPDC,100Hz,V3-L,SPOC-R,5.0,0.0195
iPDC,100Hz,V3-R,POJ-L,5.0,0.0195
iPDC,100Hz,V3-R,S1-L,6.0,0.0273
iPDC,100Hz,VIP-L,POJ-L,5.0,0.0195
iPDC,100Hz,VIP-L,SPL-L,8.0,0.0488
iPDC,100Hz,VIP-L,SPOC-R,7.0,0.0371
iPDC,100Hz,mIPS-L,V1-R,7.0,0.0371
iPDC,100Hz,mIPS-R,VIP-R,8.0,0.0488
iPDC,10Hz,AG-R,S1-L,5.0,0.0195
iPDC,10Hz,AG-R,VIP-R,3.0,0.0098
iPDC,10Hz,AG-R,mIPS-R,5.0,0.0195
iPDC,10Hz,FEF-L,POJ-L,8.0,0.0488
iPDC,10Hz,FEF-L,POJ-R,8.0,0.0488
iPDC,10Hz,FEF-L,SPOC-R,7.0,0.0371
iPDC,10Hz,FEF-R,PMd-R,7.0,0.0371
iPDC,10Hz,IPL-L,POJ-R,5.0,0.0195
iPDC,10Hz,IPL-L,SPOC-L,6.0,0.0273
iPDC,10Hz,M1-L,POJ-L,3.0,0.0098
iPDC,10Hz,M1-L,V3-R,8.0,0.0488
iPDC,10Hz,M1-R,PMv-L,7.0,0.0371
iPDC,10Hz,M1-R,VIP-L,6.0,0.0273
iPDC,10Hz,PMv-R,IPL-R,8.0,0.0488
iPDC,10Hz,PMv-R,M1-R,4.0,0.0137
