Method,Frequency,Region_From,Region_To,W_Stat,P_value
gPDC,100Hz,AG-L,SPOC-R,3.0,0.0098
gPDC,100Hz,FEF-L,PMv-R,6.0,0.0273
gPDC,100Hz,FEF-R,FEF-L,8.0,0.0488
gPDC,100Hz,FEF-R,POJ-L,5.0,0.0195
gPDC,100Hz,IPL-R,FEF-L,7.0,0.0371
gPDC,100Hz,IPL-R,SPL-R,8.0,0.0488
gPDC,100Hz,IPL-R,STS-L,8.0,0.0488
gPDC,100Hz,IPL-R,V1-L,8.0,0.0488
gPDC,100Hz,M1-L,V3-R,8.0,0.0488
gPDC,100Hz,M1-R,AG-L,8.0,0.0488
gPDC,100Hz,PMd-L,PMv-R,7.0,0.0371
gPDC,100Hz,PMd-L,V3-L,7.0,0.0371
gPDC,100Hz,PMv-L,M1-L,3.0,0.0098
gPDC,100Hz,PMv-L,M1-R,4.0,0.0137
gPDC,100Hz,PMv-L,SPOC-L,2.0,0.0059
gPDC,100Hz,PMv-R,mIPS-L,6.0,0.0273
gPDC,100Hz,POJ-L,V1-R,1.0,0.0039
gPDC,100Hz,S1-L,VIP-L,8.0,0.0488
gPDC,100Hz,S1-R,FEF-R,1.0,0.0039
gPDC,100Hz,S1-R,POJ-L,7.0,0.0371
gPDC,100Hz,SMA-R,PMd-R,2.0,0.0059
gPDC,100Hz,SPL-L,FEF-L,7.0,0.0371
gPDC,100Hz,SPOC-L,FEF-L,6.0,0.0273
gPDC,100Hz,SPOC-L,M1-L,8.0,0.0488
gPDC,100Hz,SPOC-R,V3-L,7.0,0.0371
gPDC,100Hz,STS-L,M1-L,3.0,0.0098
gPDC,100Hz,STS-L,S1-L,8.0,0.0488
gPDC,100Hz,STS-L,SPOC-R,8.0,0.0488
gPDC,100Hz,STS-L,VIP-R,7.0,0.0371
gPDC,100Hz,STS-R,V3-R,6.0,0.0273
gPDC,100Hz,V1-L,SPOC-L,1.0,0.0039
gPDC,100Hz,V1-L,V1-R,6.0,0.0273
gPDC,100Hz,V1-L,mIPS-L,7.0,0.0371
gPDC,100Hz,V1-R,IPL-R,7.0,0.0371
gPDC,100Hz,V1-R,S1-L,8.0,0.0488
gPDC,100Hz,V3-L,SPOC-R,2.0,0.0059
gPDC,100Hz,V3-R,POJ-L,5.0,0.0195
gPDC,100Hz,V3-R,S1-L,7.0,0.0371
gPDC,100Hz,VIP-L,IPL-R,8.0,0.0488
gPDC,100Hz,VIP-L,SPL-L,3.0,0.0098
gPDC,100Hz,mIPS-R,VIP-R,8.0,0.0488
gPDC,10Hz,AG-R,S1-L,3.0,0.0098
gPDC,10Hz,AG-R,VIP-R,0.0,0.002
gPDC,10Hz,FEF-L,SPOC-R,7.0,0.0371
gPDC,10Hz,IPL-L,SPOC-L,4.0,0.0137
gPDC,10Hz,M1-L,POJ-L,6.0,0.0273
gPDC,10Hz,M1-L,V3-R,8.0,0.0488
gPDC,10Hz,M1-R,PMd-R,7.0,0.0371
gPDC,10Hz,M1-R,SPL-R,6.0,0.0273
gPDC,10Hz,PMv-R,IPL-R,4.0,0.0137
gPDC,10Hz,POJ-L,V3-R,2.0,0.0059
gPDC,10Hz,POJ-R,PMd-R,3.0,0.0098
gPDC,10Hz,POJ-R,S1-R,7.0,0.0371
gPDC,10Hz,POJ-R,SMA-R,3.0,0.0098
gPDC,10Hz,POJ-R,V3-L,5.0,0.0195
gPDC,10Hz,POJ-R,V3-R,6.0,0.0273
gPDC,10Hz,S1-L,SPOC-L,7.0,0.0371
gPDC,10Hz,S1-R,AG-R,7.0,0.0371
gPDC,10Hz,SMA-L,POJ-L,6.0,0.0273
gPDC,10Hz,SMA-R,PMd-R,8.0,0.0488
gPDC,10Hz,SMA-R,V3-R,5.0,0.0195
gPDC,10Hz,SPL-L,V1-R,6.0,0.0273
gPDC,10Hz,SPL-R,PMd-R,6.0,0.0273
gPDC,10Hz,SPL-R,SMA-L,6.0,0.0273
gPDC,10Hz,SPOC-L,mIPS-L,3.0,0.0098
gPDC,10Hz,SPOC-R,SMA-R,1.0,0.0039
gPDC,10Hz,SPOC-R,SPL-L,5.0,0.0195
gPDC,10Hz,STS-R,M1-R,3.0,0.0098
gPDC,10Hz,STS-R,SMA-L,8.0,0.0488
gPDC,10Hz,STS-R,SPL-R,6.0,0.0273
gPDC,10Hz,STS-R,V3-L,5.0,0.0195
gPDC,10Hz,V1-L,M1-R,8.0,0.0488
gPDC,10Hz,V1-L,PMd-L,5.0,0.0195
gPDC,10Hz,V1-R,PMd-L,1.0,0.0039
gPDC,10Hz,V1-R,PMv-L,8.0,0.0488
gPDC,10Hz,V3-L,SPL-L,7.0,0.0371
gPDC,10Hz,V3-L,V1-R,8.0,0.0488
gPDC,10Hz,VIP-L,AG-L,7.0,0.0371
gPDC,10Hz,VIP-L,SMA-L,8.0,0.0488
gPDC,10Hz,VIP-L,STS-L,6.0,0.0273
gPDC,10Hz,VIP-L,VIP-R,6.0,0.0273
gPDC,10Hz,VIP-R,S1-L,6.0,0.0273
gPDC,10Hz,VIP-R,STS-R,8.0,0.0488
gPDC,10Hz,mIPS-L,V3-L,5.0,0.0195
gPDC,10Hz,mIPS-R,SMA-R,8.0,0.0488
gPDC,10Hz,mIPS-R,V3-R,3.0,0.0098
gPDC,20Hz,AG-L,FEF-L,7.0,0.0371
gPDC,20Hz,AG-R,V3-L,3.0,0.0098
gPDC,20Hz,AG-R,mIPS-R,7.0,0.0371
gPDC,20Hz,FEF-R,SPL-R,7.0,0.0371
gPDC,20Hz,IPL-R,POJ-L,6.0,0.0273
gPDC,20Hz,IPL-R,STS-R,3.0,0.0098
gPDC,20Hz,M1-L,PMd-L,7.0,0.0371
gPDC,20Hz,M1-L,POJ-L,5.0,0.0195
gPDC,20Hz,M1-L,SPL-R,8.0,0.0488
gPDC,20Hz,M1-L,STS-L,8.0,0.0488
gPDC,20Hz,M1-L,V3-R,8.0,0.0488
gPDC,20Hz,M1-R,PMv-R,8.0,0.0488
gPDC,20Hz,M1-R,SPL-R,6.0,0.0273
gPDC,20Hz,PMd-L,PMd-R,8.0,0.0488
gPDC,20Hz,PMd-L,PMv-L,7.0,0.0371
gPDC,20Hz,PMd-R,IPL-R,7.0,0.0371
gPDC,20Hz,PMv-R,IPL-R,3.0,0.0098
gPDC,20Hz,POJ-R,SMA-R,7.0,0.0371
gPDC,20Hz,POJ-R,V3-R,0.0,0.002
gPDC,20Hz,S1-L,FEF-L,7.0,0.0371
gPDC,20Hz,S1-L,SPOC-L,7.0,0.0371
gPDC,20Hz,S1-R,SPOC-L,7.0,0.0371
gPDC,20Hz,S1-R,SPOC-R,6.0,0.0273
gPDC,20Hz,S1-R,VIP-R,6.0,0.0273
gPDC,20Hz,SMA-L,V1-L,8.0,0.0488
gPDC,20Hz,SMA-L,VIP-L,6.0,0.0273
gPDC,20Hz,SPL-L,STS-L,7.0,0.0371
gPDC,20Hz,SPL-R,PMd-R,7.0,0.0371
gPDC,20Hz,SPL-R,V3-R,8.0,0.0488
gPDC,20Hz,SPOC-R,POJ-R,4.0,0.0137
gPDC,20Hz,SPOC-R,STS-L,8.0,0.0488
gPDC,20Hz,STS-L,SPOC-L,0.0,0.002
gPDC,20Hz,STS-L,SPOC-R,3.0,0.0098
gPDC,20Hz,STS-L,VIP-R,6.0,0.0273
gPDC,20Hz,STS-R,SPL-R,4.0,0.0137
gPDC,20Hz,STS-R,VIP-R,8.0,0.0488
gPDC,20Hz,V1-L,M1-R,8.0,0.0488
gPDC,20Hz,V1-L,PMd-L,6.0,0.0273
gPDC,20Hz,V1-R,PMd-L,7.0,0.0371
gPDC,20Hz,V1-R,STS-R,6.0,0.0273
gPDC,20Hz,V3-L,SPL-L,7.0,0.0371
gPDC,20Hz,V3-R,mIPS-R,6.0,0.0273
gPDC,20Hz,VIP-L,SMA-L,5.0,0.0195
gPDC,20Hz,mIPS-R,V3-R,6.0,0.0273
gPDC,25Hz,AG-L,M1-R,5.0,0.0195
gPDC,25Hz,AG-R,AG-L,5.0,0.0195
gPDC,25Hz,AG-R,S1-L,6.0,0.0273
gPDC,25Hz,AG-R,V3-L,7.0,0.0371
gPDC,25Hz,FEF-R,SPL-R,3.0,0.0098
gPDC,25Hz,M1-L,PMd-L,7.0,0.0371
gPDC,25Hz,M1-L,POJ-L,5.0,0.0195
gPDC,25Hz,M1-L,STS-L,8.0,0.0488
gPDC,25Hz,M1-R,SPL-R,8.0,0.0488
gPDC,25Hz,M1-R,VIP-L,8.0,0.0488
gPDC,25Hz,PMd-L,PMd-R,8.0,0.0488
gPDC,25Hz,PMd-L,PMv-L,3.0,0.0098
gPDC,25Hz,PMd-R,IPL-R,6.0,0.0273
gPDC,25Hz,PMd-R,PMd-L,7.0,0.0371
gPDC,25Hz,PMd-R,STS-L,7.0,0.0371
gPDC,25Hz,PMv-R,IPL-R,2.0,0.0059
gPDC,25Hz,PMv-R,M1-R,7.0,0.0371
gPDC,25Hz,PMv-R,V1-R,8.0,0.0488
gPDC,25Hz,POJ-L,SPL-R,4.0,0.0137
gPDC,25Hz,POJ-R,SMA-L,8.0,0.0488
gPDC,25Hz,POJ-R,V3-R,0.0,0.002
gPDC,25Hz,S1-R,SPOC-L,8.0,0.0488
gPDC,25Hz,SMA-L,VIP-L,6.0,0.0273
gPDC,25Hz,SMA-R,SPL-R,8.0,0.0488
gPDC,25Hz,SPL-L,STS-L,7.0,0.0371
gPDC,25Hz,SPL-L,V3-L,6.0,0.0273
gPDC,25Hz,SPOC-L,SPL-L,6.0,0.0273
gPDC,25Hz,SPOC-R,POJ-R,3.0,0.0098
gPDC,25Hz,STS-L,IPL-R,6.0,0.0273
gPDC,25Hz,STS-L,SPOC-R,4.0,0.0137
gPDC,25Hz,STS-L,VIP-R,5.0,0.0195
gPDC,25Hz,STS-R,SPL-R,3.0,0.0098
gPDC,25Hz,V1-L,M1-R,5.0,0.0195
gPDC,25Hz,V1-R,SMA-R,8.0,0.0488
gPDC,25Hz,V1-R,STS-L,8.0,0.0488
gPDC,25Hz,V1-R,STS-R,7.0,0.0371
gPDC,25Hz,VIP-L,M1-R,2.0,0.0059
gPDC,25Hz,VIP-L,S1-L,6.0,0.0273
gPDC,25Hz,VIP-L,SMA-L,6.0,0.0273
gPDC,25Hz,VIP-L,V1-L,4.0,0.0137
gPDC,25Hz,VIP-R,POJ-R,8.0,0.0488
gPDC,25Hz,mIPS-L,SPL-R,5.0,0.0195
gPDC,25Hz,mIPS-R,PMv-L,6.0,0.0273
gPDC,25Hz,mIPS-R,V3-R,7.0,0.0371
