dataset,movement,frequency_folder_cat,frequency_folder_mean,hz,participant,condition,n_edges,spearman_rho,spearman_p,cat_file_dir,mean_file_dir
DataSet31_Align_mov,mov,msc_cat_100Hz,msc_mean_100Hz,100Hz,BG,ProL,496,0.6895896394987717,3.058544628030597e-71,/Users/andy/Desktop/MEG_shared/Data/DataSet31_Align_mov/mov/Left_movement/msc_cat_100Hz/BG,/Users/andy/Desktop/MEG_shared/Data/DataSet31_Align_mov/mov/Left_movement/msc_mean_100Hz/BG
DataSet31_Align_mov,mov,msc_cat_100Hz,msc_mean_100Hz,100Hz,BG,ProR,496,0.6895896394987717,3.058544628030597e-71,/Users/andy/Desktop/MEG_shared/Data/DataSet31_Align_mov/mov/Right_movement/msc_cat_100Hz/BG,/Users/andy/Desktop/MEG_shared/Data/DataSet31_Align_mov/mov/Right_movement/msc_mean_100Hz/BG
DataSet31_Align_mov,mov,msc_cat_100Hz,msc_mean_100Hz,100Hz,BG,AntiL,496,0.6506143409823555,4.9564241812419164e-61,/Users/andy/Desktop/MEG_shared/Data/DataSet31_Align_mov/mov/Left_movement/msc_cat_100Hz/BG,/Users/andy/Desktop/MEG_shared/Data/DataSet31_Align_mov/mov/Left_movement/msc_mean_100Hz/BG
DataSet31_Align_mov,mov,msc_cat_100Hz,msc_mean_100Hz,100Hz,BG,AntiR,496,0.6506143409823555,4.9564241812419164e-61,/Users/andy/Desktop/MEG_shared/Data/DataSet31_Align_mov/mov/Right_movement/msc_cat_100Hz/BG,/Users/andy/Desktop/MEG_shared/Data/DataSet31_Align_mov/mov/Right_movement/msc_mean_100Hz/BG
DataSet31_Align_mov,mov,msc_cat_100Hz,msc_mean_100Hz,100Hz,DOC,ProL,496,0.687730586844626,1.0212041400773178e-70,/Users/andy/Desktop/MEG_shared/Data/DataSet31_Align_mov/mov/Left_movement/msc_cat_100Hz/DOC,/Users/andy/Desktop/MEG_shared/Data/DataSet31_Align_mov/mov/Left_movement/msc_mean_100Hz/DOC
DataSet31_Align_mov,mov,msc_cat_100Hz,msc_mean_100Hz,100Hz,DOC,ProR,496,0.687730586844626,1.0212041400773178e-70,/Users/andy/Desktop/MEG_shared/Data/DataSet31_Align_mov/mov/Right_movement/msc_cat_100Hz/DOC,/Users/andy/Desktop/MEG_shared/Data/DataSet31_Align_mov/mov/Right_movement/msc_mean_100Hz/DOC
DataSet31_Align_mov,mov,msc_cat_100Hz,msc_mean_100Hz,100Hz,DOC,AntiL,496,0.5665094181904722,1.9153465327362174e-43,/Users/andy/Desktop/MEG_shared/Data/DataSet31_Align_mov/mov/Left_movement/msc_cat_100Hz/DOC,/Users/andy/Desktop/MEG_shared/Data/DataSet31_Align_mov/mov/Left_movement/msc_mean_100Hz/DOC
DataSet31_Align_mov,mov,msc_cat_100Hz,msc_mean_100Hz,100Hz,DOC,AntiR,496,0.5665094181904722,1.9153465327362174e-43,/Users/andy/Desktop/MEG_shared/Data/DataSet31_Align_mov/mov/Right_movement/msc_cat_100Hz/DOC,/Users/andy/Desktop/MEG_shared/Data/DataSet31_Align_mov/mov/Right_movement/msc_mean_100Hz/DOC
DataSet31_Align_mov,mov,msc_cat_100Hz,msc_mean_100Hz,100Hz,GB,ProL,496,0.6729476566141719,1.0875009839455003e-66,/Users/andy/Desktop/MEG_shared/Data/DataSet31_Align_mov/mov/Left_movement/msc_cat_100Hz/GB,/Users/andy/Desktop/MEG_shared/Data/DataSet31_Align_mov/mov/Left_movement/msc_mean_100Hz/GB
DataSet31_Align_mov,mov,msc_cat_100Hz,msc_mean_100Hz,100Hz,GB,ProR,496,0.6729476566141719,1.0875009839455003e-66,/Users/andy/Desktop/MEG_shared/Data/DataSet31_Align_mov/mov/Right_movement/msc_cat_100Hz/GB,/Users/andy/Desktop/MEG_shared/Data/DataSet31_Align_mov/mov/Right_movement/msc_mean_100Hz/GB
DataSet31_Align_mov,mov,msc_cat_100Hz,msc_mean_100Hz,100Hz,GB,AntiL,496,0.652243667282286,1.9884315843192232e-61,/Users/andy/Desktop/MEG_shared/Data/DataSet31_Align_mov/mov/Left_movement/msc_cat_100Hz/GB,/Users/andy/Desktop/MEG_shared/Data/DataSet31_Align_mov/mov/Left_movement/msc_mean_100Hz/GB
DataSet31_Align_mov,mov,msc_cat_100Hz,msc_mean_100Hz,100Hz,GB,AntiR,496,0.652243667282286,1.9884315843192232e-61,/Users/andy/Desktop/MEG_shared/Data/DataSet31_Align_mov/mov/Right_movement/msc_cat_100Hz/GB,/Users/andy/Desktop/MEG_shared/Data/DataSet31_Align_mov/mov/Right_movement/msc_mean_100Hz/GB
DataSet31_Align_mov,mov,msc_cat_100Hz,msc_mean_100Hz,100Hz,JDC,ProL,496,0.7198413354024439,2.3509458563153572e-80,/Users/andy/Desktop/MEG_shared/Data/DataSet31_Align_mov/mov/Left_movement/msc_cat_100Hz/JDC,/Users/andy/Desktop/MEG_shared/Data/DataSet31_Align_mov/mov/Left_movement/msc_mean_100Hz/JDC
DataSet31_Align_mov,mov,msc_cat_100Hz,msc_mean_100Hz,100Hz,JDC,ProR,496,0.7198413354024439,2.3509458563153572e-80,/Users/andy/Desktop/MEG_shared/Data/DataSet31_Align_mov/mov/Right_movement/msc_cat_100Hz/JDC,/Users/andy/Desktop/MEG_shared/Data/DataSet31_Align_mov/mov/Right_movement/msc_mean_100Hz/JDC
