Method,Frequency,Region_From,Region_To,W_Stat,P_value
gPDC,100Hz,AG-L,PMv-R,8.0,0.0488
gPDC,100Hz,AG-L,SPL-L,4.0,0.0137
gPDC,100Hz,AG-R,S1-R,6.0,0.0273
gPDC,100Hz,AG-R,STS-R,8.0,0.0488
gPDC,100Hz,FEF-R,PMd-L,3.0,0.0098
gPDC,100Hz,IPL-L,PMv-L,6.0,0.0273
gPDC,100Hz,IPL-R,V1-L,6.0,0.0273
gPDC,100Hz,IPL-R,V1-R,6.0,0.0273
gPDC,100Hz,M1-L,SPL-L,7.0,0.0371
gPDC,100Hz,M1-R,V3-L,6.0,0.0273
gPDC,100Hz,PMd-L,POJ-L,7.0,0.0371
gPDC,100Hz,PMd-L,mIPS-L,5.0,0.0195
gPDC,100Hz,PMd-R,SMA-L,6.0,0.0273
gPDC,100Hz,PMv-L,VIP-L,8.0,0.0488
gPDC,100Hz,PMv-L,mIPS-L,3.0,0.0098
gPDC,100Hz,PMv-R,VIP-L,8.0,0.0488
gPDC,100Hz,POJ-L,IPL-R,8.0,0.0488
gPDC,100Hz,POJ-L,STS-L,5.0,0.0195
gPDC,100Hz,POJ-L,V3-L,5.0,0.0195
gPDC,100Hz,POJ-R,POJ-L,6.0,0.0273
gPDC,100Hz,S1-L,PMd-R,6.0,0.0273
gPDC,100Hz,S1-R,V3-R,0.0,0.002
gPDC,100Hz,SMA-L,S1-L,5.0,0.0195
gPDC,100Hz,SMA-R,VIP-R,8.0,0.0488
gPDC,100Hz,SPL-L,AG-R,7.0,0.0371
gPDC,100Hz,SPL-L,SPOC-R,3.0,0.0098
gPDC,100Hz,SPOC-L,IPL-L,2.0,0.0059
gPDC,100Hz,SPOC-L,SPOC-R,7.0,0.0371
gPDC,100Hz,SPOC-R,V3-R,6.0,0.0273
gPDC,100Hz,SPOC-R,mIPS-L,7.0,0.0371
gPDC,100Hz,STS-L,PMd-R,5.0,0.0195
gPDC,100Hz,STS-R,V1-L,8.0,0.0488
gPDC,100Hz,V1-L,M1-L,6.0,0.0273
gPDC,100Hz,V1-L,S1-R,4.0,0.0137
gPDC,100Hz,V1-L,SMA-R,8.0,0.0488
gPDC,100Hz,V1-R,AG-L,0.0,0.002
gPDC,100Hz,V1-R,V3-L,6.0,0.0273
gPDC,100Hz,V3-L,IPL-L,8.0,0.0488
gPDC,100Hz,V3-R,SPL-L,1.0,0.0039
gPDC,100Hz,V3-R,STS-R,8.0,0.0488
gPDC,100Hz,V3-R,V1-L,6.0,0.0273
gPDC,100Hz,V3-R,V3-L,8.0,0.0488
gPDC,100Hz,V3-R,mIPS-L,1.0,0.0039
gPDC,100Hz,VIP-L,S1-L,8.0,0.0488
gPDC,100Hz,VIP-R,STS-R,0.0,0.002
gPDC,100Hz,mIPS-L,S1-L,7.0,0.0371
gPDC,100Hz,mIPS-R,SMA-R,7.0,0.0371
gPDC,10Hz,AG-R,M1-L,8.0,0.0488
gPDC,10Hz,AG-R,PMd-L,6.0,0.0273
gPDC,10Hz,AG-R,SPOC-R,8.0,0.0488
gPDC,10Hz,FEF-R,VIP-L,8.0,0.0488
gPDC,10Hz,IPL-L,PMd-L,2.0,0.0059
gPDC,10Hz,IPL-L,PMd-R,1.0,0.0039
gPDC,10Hz,IPL-L,V3-L,7.0,0.0371
gPDC,10Hz,M1-L,IPL-R,6.0,0.0273
gPDC,10Hz,PMd-L,PMv-L,5.0,0.0195
gPDC,10Hz,PMd-L,SPL-L,6.0,0.0273
gPDC,10Hz,PMd-L,SPOC-L,7.0,0.0371
gPDC,10Hz,PMd-R,SPOC-L,3.0,0.0098
gPDC,10Hz,PMd-R,VIP-L,6.0,0.0273
gPDC,10Hz,PMv-L,IPL-L,6.0,0.0273
gPDC,10Hz,PMv-L,mIPS-R,8.0,0.0488
gPDC,10Hz,PMv-R,mIPS-L,3.0,0.0098
gPDC,10Hz,POJ-R,M1-R,3.0,0.0098
gPDC,10Hz,S1-L,PMd-L,7.0,0.0371
gPDC,10Hz,S1-L,PMv-L,6.0,0.0273
gPDC,10Hz,SMA-L,AG-R,7.0,0.0371
gPDC,10Hz,SMA-L,IPL-L,2.0,0.0059
gPDC,10Hz,SMA-L,POJ-R,8.0,0.0488
gPDC,10Hz,SMA-L,SPL-R,5.0,0.0195
gPDC,10Hz,SMA-R,IPL-R,1.0,0.0039
gPDC,10Hz,SMA-R,VIP-R,7.0,0.0371
gPDC,10Hz,SPL-R,IPL-R,2.0,0.0059
gPDC,10Hz,SPL-R,SMA-L,6.0,0.0273
gPDC,10Hz,SPOC-L,FEF-L,2.0,0.0059
gPDC,10Hz,SPOC-R,IPL-L,5.0,0.0195
gPDC,10Hz,SPOC-R,S1-R,2.0,0.0059
gPDC,10Hz,SPOC-R,STS-L,7.0,0.0371
gPDC,10Hz,STS-L,PMv-L,6.0,0.0273
gPDC,10Hz,STS-L,SPL-L,2.0,0.0059
gPDC,10Hz,STS-L,SPL-R,6.0,0.0273
gPDC,10Hz,STS-L,mIPS-R,6.0,0.0273
gPDC,10Hz,STS-R,M1-R,7.0,0.0371
gPDC,10Hz,STS-R,PMd-L,0.0,0.002
gPDC,10Hz,STS-R,S1-R,4.0,0.0137
gPDC,10Hz,STS-R,V1-R,3.0,0.0098
gPDC,10Hz,V3-L,AG-L,8.0,0.0488
gPDC,10Hz,V3-L,PMv-L,5.0,0.0195
gPDC,10Hz,V3-L,POJ-R,8.0,0.0488
gPDC,10Hz,V3-L,VIP-L,8.0,0.0488
gPDC,10Hz,VIP-L,FEF-L,7.0,0.0371
gPDC,10Hz,mIPS-L,SMA-L,8.0,0.0488
gPDC,20Hz,AG-L,V1-L,0.0,0.002
gPDC,20Hz,AG-R,PMd-L,7.0,0.0371
gPDC,20Hz,FEF-R,AG-L,7.0,0.0371
gPDC,20Hz,FEF-R,VIP-L,0.0,0.002
gPDC,20Hz,FEF-R,VIP-R,5.0,0.0195
