dataset,movement,frequency_folder_cat,frequency_folder_mean,hz,participant,condition,n_edges,spearman_rho,spearman_p,cat_file_dir,mean_file_dir
DataSet31_Align_mov,mov,msc_cat_20Hz,msc_mean_20Hz,20Hz,BG,ProL,496,0.855801770545069,1.6314279685337237e-143,/Users/andy/Desktop/MEG_shared/Data/DataSet31_Align_mov/mov/Left_movement/msc_cat_20Hz/BG,/Users/andy/Desktop/MEG_shared/Data/DataSet31_Align_mov/mov/Left_movement/msc_mean_20Hz/BG
DataSet31_Align_mov,mov,msc_cat_20Hz,msc_mean_20Hz,20Hz,BG,ProR,496,0.855801770545069,1.6314279685337237e-143,/Users/andy/Desktop/MEG_shared/Data/DataSet31_Align_mov/mov/Right_movement/msc_cat_20Hz/BG,/Users/andy/Desktop/MEG_shared/Data/DataSet31_Align_mov/mov/Right_movement/msc_mean_20Hz/BG
DataSet31_Align_mov,mov,msc_cat_20Hz,msc_mean_20Hz,20Hz,BG,AntiL,496,0.8658386290371751,1.1143335231636285e-150,/Users/andy/Desktop/MEG_shared/Data/DataSet31_Align_mov/mov/Left_movement/msc_cat_20Hz/BG,/Users/andy/Desktop/MEG_shared/Data/DataSet31_Align_mov/mov/Left_movement/msc_mean_20Hz/BG
DataSet31_Align_mov,mov,msc_cat_20Hz,msc_mean_20Hz,20Hz,BG,AntiR,496,0.8658386290371751,1.1143335231636285e-150,/Users/andy/Desktop/MEG_shared/Data/DataSet31_Align_mov/mov/Right_movement/msc_cat_20Hz/BG,/Users/andy/Desktop/MEG_shared/Data/DataSet31_Align_mov/mov/Right_movement/msc_mean_20Hz/BG
DataSet31_Align_mov,mov,msc_cat_20Hz,msc_mean_20Hz,20Hz,DOC,ProL,496,0.8102990376275246,9.845976842702655e-117,/Users/andy/Desktop/MEG_shared/Data/DataSet31_Align_mov/mov/Left_movement/msc_cat_20Hz/DOC,/Users/andy/Desktop/MEG_shared/Data/DataSet31_Align_mov/mov/Left_movement/msc_mean_20Hz/DOC
DataSet31_Align_mov,mov,msc_cat_20Hz,msc_mean_20Hz,20Hz,DOC,ProR,496,0.8102990376275246,9.845976842702655e-117,/Users/andy/Desktop/MEG_shared/Data/DataSet31_Align_mov/mov/Right_movement/msc_cat_20Hz/DOC,/Users/andy/Desktop/MEG_shared/Data/DataSet31_Align_mov/mov/Right_movement/msc_mean_20Hz/DOC
DataSet31_Align_mov,mov,msc_cat_20Hz,msc_mean_20Hz,20Hz,DOC,AntiL,496,0.8424033939708632,9.398980623469991e-135,/Users/andy/Desktop/MEG_shared/Data/DataSet31_Align_mov/mov/Left_movement/msc_cat_20Hz/DOC,/Users/andy/Desktop/MEG_shared/Data/DataSet31_Align_mov/mov/Left_movement/msc_mean_20Hz/DOC
DataSet31_Align_mov,mov,msc_cat_20Hz,msc_mean_20Hz,20Hz,DOC,AntiR,496,0.8424033939708632,9.398980623469991e-135,/Users/andy/Desktop/MEG_shared/Data/DataSet31_Align_mov/mov/Right_movement/msc_cat_20Hz/DOC,/Users/andy/Desktop/MEG_shared/Data/DataSet31_Align_mov/mov/Right_movement/msc_mean_20Hz/DOC
DataSet31_Align_mov,mov,msc_cat_20Hz,msc_mean_20Hz,20Hz,GB,ProL,496,0.7781531810609502,7.598890842051537e-102,/Users/andy/Desktop/MEG_shared/Data/DataSet31_Align_mov/mov/Left_movement/msc_cat_20Hz/GB,/Users/andy/Desktop/MEG_shared/Data/DataSet31_Align_mov/mov/Left_movement/msc_mean_20Hz/GB
DataSet31_Align_mov,mov,msc_cat_20Hz,msc_mean_20Hz,20Hz,GB,ProR,496,0.7781531810609502,7.598890842051537e-102,/Users/andy/Desktop/MEG_shared/Data/DataSet31_Align_mov/mov/Right_movement/msc_cat_20Hz/GB,/Users/andy/Desktop/MEG_shared/Data/DataSet31_Align_mov/mov/Right_movement/msc_mean_20Hz/GB
DataSet31_Align_mov,mov,msc_cat_20Hz,msc_mean_20Hz,20Hz,GB,AntiL,496,0.7962815013246635,6.52060356090993e-110,/Users/andy/Desktop/MEG_shared/Data/DataSet31_Align_mov/mov/Left_movement/msc_cat_20Hz/GB,/Users/andy/Desktop/MEG_shared/Data/DataSet31_Align_mov/mov/Left_movement/msc_mean_20Hz/GB
DataSet31_Align_mov,mov,msc_cat_20Hz,msc_mean_20Hz,20Hz,GB,AntiR,496,0.7962815013246635,6.52060356090993e-110,/Users/andy/Desktop/MEG_shared/Data/DataSet31_Align_mov/mov/Right_movement/msc_cat_20Hz/GB,/Users/andy/Desktop/MEG_shared/Data/DataSet31_Align_mov/mov/Right_movement/msc_mean_20Hz/GB
DataSet31_Align_mov,mov,msc_cat_20Hz,msc_mean_20Hz,20Hz,JDC,ProL,496,0.8774649854159168,9.635691029677242e-160,/Users/andy/Desktop/MEG_shared/Data/DataSet31_Align_mov/mov/Left_movement/msc_cat_20Hz/JDC,/Users/andy/Desktop/MEG_shared/Data/DataSet31_Align_mov/mov/Left_movement/msc_mean_20Hz/JDC
DataSet31_Align_mov,mov,msc_cat_20Hz,msc_mean_20Hz,20Hz,JDC,ProR,496,0.8774649854159168,9.635691029677242e-160,/Users/andy/Desktop/MEG_shared/Data/DataSet31_Align_mov/mov/Right_movement/msc_cat_20Hz/JDC,/Users/andy/Desktop/MEG_shared/Data/DataSet31_Align_mov/mov/Right_movement/msc_mean_20Hz/JDC
DataSet31_Align_mov,mov,msc_cat_20Hz,msc_mean_20Hz,20Hz,JDC,AntiL,496,0.8844517741837141,1.20551226265498e-165,/Users/andy/Desktop/MEG_shared/Data/DataSet31_Align_mov/mov/Left_movement/msc_cat_20Hz/JDC,/Users/andy/Desktop/MEG_shared/Data/DataSet31_Align_mov/mov/Left_movement/msc_mean_20Hz/JDC
DataSet31_Align_mov,mov,msc_cat_20Hz,msc_mean_20Hz,20Hz,JDC,AntiR,496,0.8844517741837141,1.20551226265498e-165,/Users/andy/Desktop/MEG_shared/Data/DataSet31_Align_mov/mov/Right_movement/msc_cat_20Hz/JDC,/Users/andy/Desktop/MEG_shared/Data/DataSet31_Align_mov/mov/Right_movement/msc_mean_20Hz/JDC
DataSet31_Align_mov,mov,msc_cat_20Hz,msc_mean_20Hz,20Hz,JFXD,ProL,496,0.9400690555847301,5.652681786644391e-233,/Users/andy/Desktop/MEG_shared/Data/DataSet31_Align_mov/mov/Left_movement/msc_cat_20Hz/JFXD,/Users/andy/Desktop/MEG_shared/Data/DataSet31_Align_mov/mov/Left_movement/msc_mean_20Hz/JFXD
DataSet31_Align_mov,mov,msc_cat_20Hz,msc_mean_20Hz,20Hz,JFXD,ProR,496,0.9400690555847301,5.652681786644391e-233,/Users/andy/Desktop/MEG_shared/Data/DataSet31_Align_mov/mov/Right_movement/msc_cat_20Hz/JFXD,/Users/andy/Desktop/MEG_shared/Data/DataSet31_Align_mov/mov/Right_movement/msc_mean_20Hz/JFXD
DataSet31_Align_mov,mov,msc_cat_20Hz,msc_mean_20Hz,20Hz,JFXD,AntiL,496,0.9306368022406186,8.182274287168087e-218,/Users/andy/Desktop/MEG_shared/Data/DataSet31_Align_mov/mov/Left_movement/msc_cat_20Hz/JFXD,/Users/andy/Desktop/MEG_shared/Data/DataSet31_Align_mov/mov/Left_movement/msc_mean_20Hz/JFXD
DataSet31_Align_mov,mov,msc_cat_20Hz,msc_mean_20Hz,20Hz,JFXD,AntiR,496,0.9306368022406186,8.182274287168087e-218,/Users/andy/Desktop/MEG_shared/Data/DataSet31_Align_mov/mov/Right_movement/msc_cat_20Hz/JFXD,/Users/andy/Desktop/MEG_shared/Data/DataSet31_Align_mov/mov/Right_movement/msc_mean_20Hz/JFXD
DataSet31_Align_mov,mov,msc_cat_20Hz,msc_mean_20Hz,20Hz,JZ,ProL,496,0.8362579189703223,5.264483681990892e-131,/Users/andy/Desktop/MEG_shared/Data/DataSet31_Align_mov/mov/Left_movement/msc_cat_20Hz/JZ,/Users/andy/Desktop/MEG_shared/Data/DataSet31_Align_mov/mov/Left_movement/msc_mean_20Hz/JZ
DataSet31_Align_mov,mov,msc_cat_20Hz,msc_mean_20Hz,20Hz,JZ,ProR,496,0.8362579189703223,5.264483681990892e-131,/Users/andy/Desktop/MEG_shared/Data/DataSet31_Align_mov/mov/Right_movement/msc_cat_20Hz/JZ,/Users/andy/Desktop/MEG_shared/Data/DataSet31_Align_mov/mov/Right_movement/msc_mean_20Hz/JZ
DataSet31_Align_mov,mov,msc_cat_20Hz,msc_mean_20Hz,20Hz,JZ,AntiL,496,0.8691598269971736,3.525319854485322e-153,/Users/andy/Desktop/MEG_shared/Data/DataSet31_Align_mov/mov/Left_movement/msc_cat_20Hz/JZ,/Users/andy/Desktop/MEG_shared/Data/DataSet31_Align_mov/mov/Left_movement/msc_mean_20Hz/JZ
DataSet31_Align_mov,mov,msc_cat_20Hz,msc_mean_20Hz,20Hz,JZ,AntiR,496,0.8691598269971736,3.525319854485322e-153,/Users/andy/Desktop/MEG_shared/Data/DataSet31_Align_mov/mov/Right_movement/msc_cat_20Hz/JZ,/Users/andy/Desktop/MEG_shared/Data/DataSet31_Align_mov/mov/Right_movement/msc_mean_20Hz/JZ
DataSet31_Align_mov,mov,msc_cat_20Hz,msc_mean_20Hz,20Hz,LT,ProL,496,0.916235929752513,2.253459774021533e-198,/Users/andy/Desktop/MEG_shared/Data/DataSet31_Align_mov/mov/Left_movement/msc_cat_20Hz/LT,/Users/andy/Desktop/MEG_shared/Data/DataSet31_Align_mov/mov/Left_movement/msc_mean_20Hz/LT
DataSet31_Align_mov,mov,msc_cat_20Hz,msc_mean_20Hz,20Hz,LT,ProR,496,0.916235929752513,2.253459774021533e-198,/Users/andy/Desktop/MEG_shared/Data/DataSet31_Align_mov/mov/Right_movement/msc_cat_20Hz/LT,/Users/andy/Desktop/MEG_shared/Data/DataSet31_Align_mov/mov/Right_movement/msc_mean_20Hz/LT
DataSet31_Align_mov,mov,msc_cat_20Hz,msc_mean_20Hz,20Hz,LT,AntiL,496,0.8910987921664887,1.2594817209013102e-171,/Users/andy/Desktop/MEG_shared/Data/DataSet31_Align_mov/mov/Left_movement/msc_cat_20Hz/LT,/Users/andy/Desktop/MEG_shared/Data/DataSet31_Align_mov/mov/Left_movement/msc_mean_20Hz/LT
