Method,Frequency,Region_From,Region_To,W_Stat,P_value
mean,100Hz,AG-L,SMA-L,2.0,0.0059
mean,100Hz,AG-L,VIP-L,4.0,0.0137
mean,100Hz,FEF-L,POJ-R,4.0,0.0137
mean,100Hz,FEF-R,S1-R,5.0,0.0195
mean,100Hz,FEF-R,V3-L,7.0,0.0371
mean,100Hz,IPL-L,POJ-L,8.0,0.0488
mean,100Hz,IPL-L,POJ-R,6.0,0.0273
mean,100Hz,IPL-L,V1-R,8.0,0.0488
mean,100Hz,M1-L,SPL-L,8.0,0.0488
mean,100Hz,PMd-R,VIP-R,7.0,0.0371
mean,100Hz,PMv-L,V1-R,7.0,0.0371
mean,100Hz,POJ-L,IPL-L,8.0,0.0488
mean,100Hz,POJ-L,STS-L,7.0,0.0371
mean,100Hz,POJ-L,VIP-L,6.0,0.0273
mean,100Hz,POJ-R,FEF-L,4.0,0.0137
mean,100Hz,POJ-R,IPL-L,6.0,0.0273
mean,100Hz,S1-L,VIP-L,8.0,0.0488
mean,100Hz,S1-R,FEF-R,5.0,0.0195
mean,100Hz,S1-R,SPL-R,0.0,0.002
mean,100Hz,SMA-L,AG-L,2.0,0.0059
mean,100Hz,SMA-L,SMA-R,7.0,0.0371
mean,100Hz,SMA-L,VIP-L,4.0,0.0137
mean,100Hz,SMA-R,SMA-L,7.0,0.0371
mean,100Hz,SMA-R,SPL-R,0.0,0.002
mean,100Hz,SPL-L,M1-L,8.0,0.0488
mean,100Hz,SPL-R,S1-R,0.0,0.002
mean,100Hz,SPL-R,SMA-R,0.0,0.002
mean,100Hz,SPL-R,mIPS-L,4.0,0.0137
mean,100Hz,SPL-R,mIPS-R,3.0,0.0098
mean,100Hz,SPOC-R,V3-R,8.0,0.0488
mean,100Hz,STS-L,POJ-L,7.0,0.0371
mean,100Hz,STS-L,VIP-R,8.0,0.0488
mean,100Hz,STS-R,VIP-R,8.0,0.0488
mean,100Hz,V1-L,VIP-R,7.0,0.0371
mean,100Hz,V1-R,IPL-L,8.0,0.0488
mean,100Hz,V1-R,PMv-L,7.0,0.0371
mean,100Hz,V1-R,mIPS-L,8.0,0.0488
mean,100Hz,V3-L,FEF-R,7.0,0.0371
mean,100Hz,V3-L,VIP-L,4.0,0.0137
mean,100Hz,V3-R,SPOC-R,8.0,0.0488
