Method,Frequency,Region_From,Region_To,W_Stat,P_value
cat,100Hz,AG-L,SMA-L,5.0,0.0195
cat,100Hz,AG-L,VIP-L,2.0,0.0059
cat,100Hz,AG-R,POJ-L,7.0,0.0371
cat,100Hz,AG-R,SMA-R,4.0,0.0137
cat,100Hz,FEF-L,VIP-L,8.0,0.0488
cat,100Hz,FEF-R,M1-L,6.0,0.0273
cat,100Hz,FEF-R,POJ-R,7.0,0.0371
cat,100Hz,IPL-R,S1-L,5.0,0.0195
cat,100Hz,M1-L,FEF-R,6.0,0.0273
cat,100Hz,M1-L,PMd-R,8.0,0.0488
cat,100Hz,M1-L,POJ-L,8.0,0.0488
cat,100Hz,M1-R,SPOC-R,7.0,0.0371
cat,100Hz,M1-R,STS-R,7.0,0.0371
cat,100Hz,PMd-L,POJ-L,5.0,0.0195
cat,100Hz,PMd-L,STS-L,8.0,0.0488
cat,100Hz,PMd-R,M1-L,8.0,0.0488
cat,100Hz,PMd-R,SPL-R,1.0,0.0039
cat,100Hz,PMd-R,V3-L,3.0,0.0098
cat,100Hz,PMd-R,V3-R,5.0,0.0195
cat,100Hz,PMv-L,S1-L,8.0,0.0488
cat,100Hz,PMv-L,SMA-L,7.0,0.0371
cat,100Hz,PMv-L,SPL-R,5.0,0.0195
cat,100Hz,PMv-R,SPOC-L,6.0,0.0273
cat,100Hz,POJ-L,AG-R,7.0,0.0371
cat,100Hz,POJ-L,M1-L,8.0,0.0488
cat,100Hz,POJ-L,PMd-L,5.0,0.0195
cat,100Hz,POJ-L,S1-L,6.0,0.0273
cat,100Hz,POJ-L,SMA-L,1.0,0.0039
cat,100Hz,POJ-L,SPOC-R,4.0,0.0137
cat,100Hz,POJ-L,STS-L,2.0,0.0059
cat,100Hz,POJ-L,VIP-L,6.0,0.0273
cat,100Hz,POJ-L,VIP-R,4.0,0.0137
cat,100Hz,POJ-L,mIPS-R,8.0,0.0488
cat,100Hz,POJ-R,FEF-R,7.0,0.0371
cat,100Hz,S1-L,IPL-R,5.0,0.0195
cat,100Hz,S1-L,PMv-L,8.0,0.0488
cat,100Hz,S1-L,POJ-L,6.0,0.0273
cat,100Hz,S1-R,V3-R,8.0,0.0488
cat,100Hz,S1-R,mIPS-L,3.0,0.0098
cat,100Hz,SMA-L,AG-L,5.0,0.0195
cat,100Hz,SMA-L,PMv-L,7.0,0.0371
cat,100Hz,SMA-L,POJ-L,1.0,0.0039
cat,100Hz,SMA-L,STS-L,5.0,0.0195
cat,100Hz,SMA-L,VIP-L,7.0,0.0371
cat,100Hz,SMA-R,AG-R,4.0,0.0137
cat,100Hz,SPL-L,SPL-R,6.0,0.0273
cat,100Hz,SPL-R,PMd-R,1.0,0.0039
cat,100Hz,SPL-R,PMv-L,5.0,0.0195
cat,100Hz,SPL-R,SPL-L,6.0,0.0273
cat,100Hz,SPOC-L,PMv-R,6.0,0.0273
cat,100Hz,SPOC-R,M1-R,7.0,0.0371
cat,100Hz,SPOC-R,POJ-L,4.0,0.0137
cat,100Hz,STS-L,PMd-L,8.0,0.0488
cat,100Hz,STS-L,POJ-L,2.0,0.0059
cat,100Hz,STS-L,SMA-L,5.0,0.0195
cat,100Hz,STS-L,STS-R,7.0,0.0371
cat,100Hz,STS-R,M1-R,7.0,0.0371
cat,100Hz,STS-R,STS-L,7.0,0.0371
cat,100Hz,V3-L,PMd-R,3.0,0.0098
cat,100Hz,V3-R,PMd-R,5.0,0.0195
cat,100Hz,V3-R,S1-R,8.0,0.0488
cat,100Hz,VIP-L,AG-L,2.0,0.0059
cat,100Hz,VIP-L,FEF-L,8.0,0.0488
cat,100Hz,VIP-L,POJ-L,6.0,0.0273
cat,100Hz,VIP-L,SMA-L,7.0,0.0371
cat,100Hz,VIP-R,POJ-L,4.0,0.0137
cat,100Hz,mIPS-L,S1-R,3.0,0.0098
cat,100Hz,mIPS-R,POJ-L,8.0,0.0488
cat,10Hz,AG-L,VIP-L,2.0,0.0059
cat,10Hz,FEF-L,V1-L,7.0,0.0371
cat,10Hz,FEF-R,PMv-L,8.0,0.0488
cat,10Hz,FEF-R,V1-R,7.0,0.0371
cat,10Hz,IPL-L,S1-L,6.0,0.0273
cat,10Hz,IPL-R,S1-R,6.0,0.0273
cat,10Hz,IPL-R,mIPS-L,5.0,0.0195
cat,10Hz,M1-R,PMd-L,6.0,0.0273
cat,10Hz,M1-R,POJ-R,1.0,0.0039
cat,10Hz,M1-R,SPOC-R,6.0,0.0273
cat,10Hz,M1-R,mIPS-R,5.0,0.0195
cat,10Hz,PMd-L,M1-R,6.0,0.0273
cat,10Hz,PMd-L,VIP-R,5.0,0.0195
cat,10Hz,PMd-R,POJ-L,8.0,0.0488
cat,10Hz,PMv-L,FEF-R,8.0,0.0488
cat,10Hz,PMv-R,SPOC-L,5.0,0.0195
cat,10Hz,PMv-R,mIPS-L,6.0,0.0273
cat,10Hz,POJ-L,PMd-R,8.0,0.0488
cat,10Hz,POJ-L,S1-L,5.0,0.0195
cat,10Hz,POJ-R,M1-R,1.0,0.0039
cat,10Hz,POJ-R,SMA-L,8.0,0.0488
cat,10Hz,POJ-R,SMA-R,8.0,0.0488
cat,10Hz,S1-L,IPL-L,6.0,0.0273
cat,10Hz,S1-L,POJ-L,5.0,0.0195
cat,10Hz,S1-R,IPL-R,6.0,0.0273
cat,10Hz,S1-R,V1-R,4.0,0.0137
cat,10Hz,S1-R,V3-R,6.0,0.0273
cat,10Hz,SMA-L,POJ-R,8.0,0.0488
cat,10Hz,SMA-L,V3-L,5.0,0.0195
cat,10Hz,SMA-R,POJ-R,8.0,0.0488
cat,10Hz,SMA-R,SPL-R,3.0,0.0098
cat,10Hz,SMA-R,mIPS-R,6.0,0.0273
cat,10Hz,SPL-L,STS-R,1.0,0.0039
cat,10Hz,SPL-R,SMA-R,3.0,0.0098
cat,10Hz,SPL-R,V3-R,5.0,0.0195
cat,10Hz,SPOC-L,PMv-R,5.0,0.0195
cat,10Hz,SPOC-R,M1-R,6.0,0.0273
cat,10Hz,SPOC-R,V3-R,4.0,0.0137
cat,10Hz,STS-R,SPL-L,1.0,0.0039
cat,10Hz,STS-R,V3-R,6.0,0.0273
cat,10Hz,V1-L,FEF-L,7.0,0.0371
cat,10Hz,V1-R,FEF-R,7.0,0.0371
cat,10Hz,V1-R,S1-R,4.0,0.0137
cat,10Hz,V1-R,VIP-L,8.0,0.0488
cat,10Hz,V3-L,SMA-L,5.0,0.0195
cat,10Hz,V3-R,S1-R,6.0,0.0273
cat,10Hz,V3-R,SPL-R,5.0,0.0195
cat,10Hz,V3-R,SPOC-R,4.0,0.0137
cat,10Hz,V3-R,STS-R,6.0,0.0273
cat,10Hz,V3-R,mIPS-R,6.0,0.0273
cat,10Hz,VIP-L,AG-L,2.0,0.0059
cat,10Hz,VIP-L,V1-R,8.0,0.0488
cat,10Hz,VIP-R,PMd-L,5.0,0.0195
cat,10Hz,mIPS-L,IPL-R,5.0,0.0195
cat,10Hz,mIPS-L,PMv-R,6.0,0.0273
cat,10Hz,mIPS-R,M1-R,5.0,0.0195
cat,10Hz,mIPS-R,SMA-R,6.0,0.0273
cat,10Hz,mIPS-R,V3-R,6.0,0.0273
cat,20Hz,AG-L,AG-R,6.0,0.0273
cat,20Hz,AG-L,VIP-L,6.0,0.0273
cat,20Hz,AG-R,AG-L,6.0,0.0273
cat,20Hz,AG-R,FEF-L,7.0,0.0371
cat,20Hz,AG-R,SMA-L,8.0,0.0488
cat,20Hz,AG-R,SPOC-L,8.0,0.0488
cat,20Hz,AG-R,V3-L,6.0,0.0273
cat,20Hz,AG-R,VIP-L,8.0,0.0488
cat,20Hz,FEF-L,AG-R,7.0,0.0371
cat,20Hz,FEF-L,STS-R,6.0,0.0273
cat,20Hz,FEF-L,V1-R,8.0,0.0488
cat,20Hz,FEF-R,M1-L,5.0,0.0195
cat,20Hz,IPL-L,VIP-L,8.0,0.0488
cat,20Hz,IPL-L,mIPS-R,2.0,0.0059
cat,20Hz,IPL-R,PMv-L,2.0,0.0059
cat,20Hz,M1-L,FEF-R,5.0,0.0195
cat,20Hz,PMd-L,S1-L,1.0,0.0039
cat,20Hz,PMd-L,SMA-L,7.0,0.0371
cat,20Hz,PMd-R,V3-L,1.0,0.0039
cat,20Hz,PMv-L,IPL-R,2.0,0.0059
cat,20Hz,PMv-R,SPL-R,2.0,0.0059
cat,20Hz,POJ-R,SMA-R,8.0,0.0488
cat,20Hz,S1-L,PMd-L,1.0,0.0039
cat,20Hz,S1-L,V1-R,4.0,0.0137
cat,20Hz,S1-R,V3-R,7.0,0.0371
cat,20Hz,S1-R,VIP-L,4.0,0.0137
