File_Name,Max_Value,Position_Row,Position_Column
mov_L_iDTF_100Hz_average.csv,2.2116048290734307,4,4
mov_R_iDTF_100Hz_average.csv,2.1182278425660925,4,4
cue_R_iDTF_100Hz_average.csv,2.1181637522367,12,12
cue_L_iDTF_100Hz_average.csv,2.023681797046398,4,4
mov_R_iDTF_10Hz_average.csv,1.4477188734808697,10,10
cue_R_iDTF_10Hz_average.csv,1.4454895628022622,10,10
mov_L_iDTF_10Hz_average.csv,1.40056928273342,10,10
cue_L_iDTF_10Hz_average.csv,1.3979251952077762,10,10
mov_R_iDTF_20Hz_average.csv,1.281088568868445,10,10
cue_R_iDTF_20Hz_average.csv,1.2627336436122578,10,10
mov_L_iDTF_20Hz_average.csv,1.2363112817332778,10,10
cue_L_iDTF_20Hz_average.csv,1.2260987316661878,10,10
cue_L_gPDC_20Hz_average.csv,0.9125795661237784,14,14
cue_L_gPDC_10Hz_average.csv,0.9116610361306424,14,14
cue_R_gPDC_20Hz_average.csv,0.911277813628812,14,14
mov_L_gPDC_20Hz_average.csv,0.9100528404897372,14,14
mov_L_gPDC_10Hz_average.csv,0.9091530218509104,14,14
mov_R_gPDC_20Hz_average.csv,0.9090475243729518,30,30
cue_R_gPDC_10Hz_average.csv,0.9084293446540856,14,14
mov_R_gPDC_10Hz_average.csv,0.9076117513131086,14,14
mov_L_gPDC_100Hz_average.csv,0.8837298511143812,3,3
cue_R_gPDC_100Hz_average.csv,0.8819339588564509,3,3
cue_L_gPDC_100Hz_average.csv,0.8817423890048923,3,3
mov_R_gPDC_100Hz_average.csv,0.8754823007276664,3,3
cue_R_gDTF_100Hz_average.csv,0.6803158962091309,4,4
cue_L_gDTF_100Hz_average.csv,0.6781973371531542,29,29
mov_R_gDTF_100Hz_average.csv,0.6707416160199439,4,4
mov_L_gDTF_100Hz_average.csv,0.669207865835898,4,4
cue_L_iPDC_20Hz_average.csv,0.6450892547517608,14,14
cue_L_iPDC_10Hz_average.csv,0.6447459244518614,14,14
cue_R_iPDC_10Hz_average.csv,0.6440719742954375,14,14
cue_R_iPDC_20Hz_average.csv,0.6419889266018763,14,14
cue_L_iPDC_100Hz_average.csv,0.639899616245153,14,14
mov_R_iPDC_10Hz_average.csv,0.6390856437186019,14,14
cue_R_iPDC_100Hz_average.csv,0.6385005816519118,14,14
mov_R_iPDC_100Hz_average.csv,0.637552204694867,14,14
mov_R_iPDC_20Hz_average.csv,0.6364865741701607,14,14
mov_L_iPDC_10Hz_average.csv,0.6349085065925102,14,14
mov_L_iPDC_20Hz_average.csv,0.6325494797203217,14,14
mov_L_iPDC_100Hz_average.csv,0.6253867142252032,14,14
cue_L_gDTF_10Hz_average.csv,0.5945251970869136,31,31
cue_R_gDTF_20Hz_average.csv,0.5886880174081424,31,31
cue_L_gDTF_20Hz_average.csv,0.5863011016872137,31,31
cue_R_gDTF_10Hz_average.csv,0.5862560298352467,31,31
mov_R_gDTF_20Hz_average.csv,0.5834036632826957,31,31
mov_R_gDTF_10Hz_average.csv,0.5828971078366075,31,31
mov_L_gDTF_20Hz_average.csv,0.5762468584950694,31,31
mov_L_gDTF_10Hz_average.csv,0.567073805865135,31,31
