Method,Frequency,Region_From,Region_To,W_Stat,P_value
iPDC,100Hz,FEF-L,M1-R,7.0,0.0371
iPDC,100Hz,FEF-L,V3-L,7.0,0.0371
iPDC,100Hz,IPL-L,STS-R,7.0,0.0371
iPDC,100Hz,IPL-R,PMv-L,3.0,0.0098
iPDC,100Hz,IPL-R,S1-R,5.0,0.0195
iPDC,100Hz,IPL-R,VIP-R,8.0,0.0488
iPDC,100Hz,M1-L,VIP-R,4.0,0.0137
iPDC,100Hz,M1-R,AG-R,6.0,0.0273
iPDC,100Hz,M1-R,VIP-R,7.0,0.0371
iPDC,100Hz,PMd-L,PMv-L,7.0,0.0371
iPDC,100Hz,PMd-R,POJ-R,5.0,0.0195
iPDC,100Hz,PMd-R,VIP-R,5.0,0.0195
iPDC,100Hz,PMv-L,STS-L,5.0,0.0195
iPDC,100Hz,PMv-R,AG-R,8.0,0.0488
iPDC,100Hz,PMv-R,VIP-R,0.0,0.002
iPDC,100Hz,PMv-R,mIPS-R,6.0,0.0273
iPDC,100Hz,POJ-L,STS-L,0.0,0.002
iPDC,100Hz,POJ-R,SPOC-R,1.0,0.0039
iPDC,100Hz,POJ-R,VIP-R,3.0,0.0098
iPDC,100Hz,S1-L,IPL-L,8.0,0.0488
iPDC,100Hz,S1-L,PMv-L,5.0,0.0195
iPDC,100Hz,S1-L,mIPS-R,7.0,0.0371
iPDC,100Hz,SMA-L,IPL-R,8.0,0.0488
iPDC,100Hz,SMA-R,FEF-L,8.0,0.0488
iPDC,100Hz,SMA-R,SMA-L,6.0,0.0273
iPDC,100Hz,SMA-R,SPL-L,8.0,0.0488
iPDC,100Hz,SMA-R,V1-L,7.0,0.0371
iPDC,100Hz,SPL-L,SPL-R,4.0,0.0137
iPDC,100Hz,SPL-L,V3-L,7.0,0.0371
iPDC,100Hz,SPL-R,VIP-R,8.0,0.0488
iPDC,100Hz,SPOC-R,SPL-L,3.0,0.0098
iPDC,100Hz,STS-L,S1-R,6.0,0.0273
iPDC,100Hz,STS-R,FEF-L,4.0,0.0137
iPDC,100Hz,STS-R,IPL-L,6.0,0.0273
iPDC,100Hz,STS-R,M1-L,4.0,0.0137
iPDC,100Hz,V1-L,IPL-L,5.0,0.0195
iPDC,100Hz,V1-L,PMv-L,4.0,0.0137
iPDC,100Hz,V1-L,S1-L,7.0,0.0371
iPDC,100Hz,V1-L,STS-L,8.0,0.0488
iPDC,100Hz,V1-L,V3-L,7.0,0.0371
iPDC,100Hz,V1-L,VIP-L,7.0,0.0371
iPDC,100Hz,V1-R,mIPS-L,7.0,0.0371
iPDC,100Hz,V3-L,IPL-L,5.0,0.0195
iPDC,100Hz,V3-R,V3-L,6.0,0.0273
iPDC,100Hz,VIP-L,SPL-L,7.0,0.0371
iPDC,100Hz,VIP-R,S1-L,8.0,0.0488
iPDC,100Hz,VIP-R,S1-R,3.0,0.0098
iPDC,100Hz,VIP-R,SMA-R,1.0,0.0039
iPDC,100Hz,VIP-R,STS-R,7.0,0.0371
iPDC,100Hz,mIPS-L,IPL-L,3.0,0.0098
iPDC,100Hz,mIPS-L,S1-L,0.0,0.002
iPDC,100Hz,mIPS-L,SPL-R,6.0,0.0273
iPDC,100Hz,mIPS-L,STS-L,4.0,0.0137
iPDC,100Hz,mIPS-R,IPL-L,8.0,0.0488
iPDC,100Hz,mIPS-R,S1-L,2.0,0.0059
iPDC,100Hz,mIPS-R,SMA-L,2.0,0.0059
iPDC,100Hz,mIPS-R,VIP-R,4.0,0.0137
iPDC,10Hz,AG-L,PMv-R,5.0,0.0195
iPDC,10Hz,AG-R,V1-L,7.0,0.0371
iPDC,10Hz,AG-R,VIP-R,6.0,0.0273
iPDC,10Hz,FEF-L,AG-L,7.0,0.0371
iPDC,10Hz,FEF-L,SMA-L,2.0,0.0059
iPDC,10Hz,FEF-R,SMA-L,0.0,0.002
iPDC,10Hz,FEF-R,SMA-R,8.0,0.0488
iPDC,10Hz,FEF-R,SPOC-L,6.0,0.0273
iPDC,10Hz,FEF-R,VIP-L,6.0,0.0273
iPDC,10Hz,IPL-L,POJ-L,1.0,0.0039
iPDC,10Hz,IPL-L,SMA-L,8.0,0.0488
iPDC,10Hz,M1-L,PMv-L,7.0,0.0371
iPDC,10Hz,M1-L,VIP-L,0.0,0.002
iPDC,10Hz,M1-R,PMv-L,8.0,0.0488
iPDC,10Hz,PMd-L,SPOC-R,7.0,0.0371
iPDC,10Hz,PMd-L,STS-R,6.0,0.0273
iPDC,10Hz,PMd-R,IPL-L,4.0,0.0137
iPDC,10Hz,PMd-R,PMv-L,8.0,0.0488
