Method,Frequency,Region_From,Region_To,W_Stat,P_value
gPDC,100Hz,AG-L,SPOC-R,8.0,0.0488
gPDC,100Hz,AG-R,VIP-R,5.0,0.0195
gPDC,100Hz,FEF-L,PMv-R,7.0,0.0371
gPDC,100Hz,FEF-R,PMd-L,8.0,0.0488
gPDC,100Hz,IPL-L,PMv-R,5.0,0.0195
gPDC,100Hz,IPL-R,POJ-L,7.0,0.0371
gPDC,100Hz,IPL-R,SPL-R,6.0,0.0273
gPDC,100Hz,IPL-R,STS-L,6.0,0.0273
gPDC,100Hz,PMd-L,PMv-R,5.0,0.0195
gPDC,100Hz,PMd-L,POJ-R,4.0,0.0137
gPDC,100Hz,PMd-L,SMA-R,8.0,0.0488
gPDC,100Hz,PMv-L,M1-L,2.0,0.0059
gPDC,100Hz,PMv-L,M1-R,3.0,0.0098
gPDC,100Hz,PMv-L,SPOC-L,3.0,0.0098
gPDC,100Hz,PMv-L,mIPS-L,8.0,0.0488
gPDC,100Hz,PMv-R,mIPS-L,5.0,0.0195
gPDC,100Hz,POJ-L,V1-R,4.0,0.0137
gPDC,100Hz,POJ-L,VIP-R,8.0,0.0488
gPDC,100Hz,S1-L,SMA-L,7.0,0.0371
gPDC,100Hz,S1-L,VIP-L,6.0,0.0273
gPDC,100Hz,S1-R,FEF-R,1.0,0.0039
gPDC,100Hz,SMA-R,PMd-R,7.0,0.0371
gPDC,100Hz,SMA-R,SPL-R,8.0,0.0488
gPDC,100Hz,SPL-L,FEF-L,1.0,0.0039
gPDC,100Hz,SPL-R,PMd-R,7.0,0.0371
gPDC,100Hz,SPL-R,VIP-L,7.0,0.0371
gPDC,100Hz,SPOC-L,FEF-L,7.0,0.0371
gPDC,100Hz,STS-L,SPOC-R,7.0,0.0371
gPDC,100Hz,STS-L,VIP-R,7.0,0.0371
gPDC,100Hz,STS-R,V3-R,6.0,0.0273
gPDC,100Hz,V1-L,SPOC-L,1.0,0.0039
gPDC,100Hz,V1-L,V1-R,6.0,0.0273
gPDC,100Hz,V1-R,IPL-R,4.0,0.0137
gPDC,100Hz,V3-L,SPOC-R,5.0,0.0195
gPDC,100Hz,V3-R,S1-L,5.0,0.0195
gPDC,100Hz,VIP-L,PMd-L,1.0,0.0039
gPDC,100Hz,VIP-L,POJ-L,7.0,0.0371
gPDC,100Hz,VIP-L,SPL-L,3.0,0.0098
gPDC,100Hz,VIP-L,SPOC-R,5.0,0.0195
gPDC,10Hz,AG-R,S1-L,3.0,0.0098
gPDC,10Hz,AG-R,VIP-R,3.0,0.0098
gPDC,10Hz,FEF-L,POJ-L,8.0,0.0488
gPDC,10Hz,FEF-R,PMd-R,8.0,0.0488
gPDC,10Hz,IPL-R,PMd-L,7.0,0.0371
gPDC,10Hz,M1-L,POJ-L,6.0,0.0273
gPDC,10Hz,M1-L,V3-R,7.0,0.0371
gPDC,10Hz,M1-L,mIPS-R,7.0,0.0371
gPDC,10Hz,M1-R,PMd-R,8.0,0.0488
gPDC,10Hz,M1-R,SPL-R,5.0,0.0195
gPDC,10Hz,PMd-L,PMv-L,8.0,0.0488
gPDC,10Hz,PMv-R,IPL-R,5.0,0.0195
gPDC,10Hz,PMv-R,V1-R,5.0,0.0195
gPDC,10Hz,POJ-L,V3-R,4.0,0.0137
gPDC,10Hz,POJ-R,PMd-R,0.0,0.002
gPDC,10Hz,POJ-R,S1-R,4.0,0.0137
gPDC,10Hz,POJ-R,SMA-R,4.0,0.0137
gPDC,10Hz,POJ-R,V3-L,6.0,0.0273
gPDC,10Hz,POJ-R,V3-R,7.0,0.0371
gPDC,10Hz,SMA-L,POJ-L,8.0,0.0488
gPDC,10Hz,SMA-R,PMd-R,7.0,0.0371
gPDC,10Hz,SMA-R,V3-R,4.0,0.0137
gPDC,10Hz,SPL-L,V1-R,4.0,0.0137
gPDC,10Hz,SPL-R,V3-R,7.0,0.0371
gPDC,10Hz,SPOC-L,mIPS-L,5.0,0.0195
gPDC,10Hz,SPOC-R,POJ-R,8.0,0.0488
gPDC,10Hz,SPOC-R,SMA-R,4.0,0.0137
