Method,Frequency,Region_From,Region_To,W_Stat,P_value
iPDC,100Hz,AG-L,PMv-R,4.0,0.0137
iPDC,100Hz,AG-L,SPL-L,6.0,0.0273
iPDC,100Hz,AG-L,V3-R,8.0,0.0488
iPDC,100Hz,AG-R,PMd-L,2.0,0.0059
iPDC,100Hz,FEF-L,SPL-R,6.0,0.0273
iPDC,100Hz,FEF-L,mIPS-R,8.0,0.0488
iPDC,100Hz,FEF-R,PMd-L,1.0,0.0039
iPDC,100Hz,FEF-R,POJ-R,6.0,0.0273
iPDC,100Hz,FEF-R,V1-R,8.0,0.0488
iPDC,100Hz,IPL-L,FEF-L,7.0,0.0371
iPDC,100Hz,IPL-L,PMv-L,7.0,0.0371
iPDC,100Hz,IPL-L,V3-R,3.0,0.0098
iPDC,100Hz,PMd-L,mIPS-L,4.0,0.0137
iPDC,100Hz,PMd-R,AG-L,6.0,0.0273
iPDC,100Hz,PMd-R,SMA-L,5.0,0.0195
iPDC,100Hz,PMd-R,V3-L,6.0,0.0273
iPDC,100Hz,PMv-L,V3-L,8.0,0.0488
iPDC,100Hz,PMv-L,VIP-L,0.0,0.002
iPDC,100Hz,PMv-L,mIPS-L,2.0,0.0059
iPDC,100Hz,PMv-R,V3-R,7.0,0.0371
iPDC,100Hz,PMv-R,VIP-L,6.0,0.0273
iPDC,100Hz,PMv-R,mIPS-L,5.0,0.0195
iPDC,100Hz,POJ-L,IPL-R,4.0,0.0137
iPDC,100Hz,POJ-L,PMd-R,3.0,0.0098
iPDC,100Hz,POJ-L,S1-L,5.0,0.0195
iPDC,100Hz,POJ-L,STS-L,6.0,0.0273
iPDC,100Hz,POJ-L,STS-R,4.0,0.0137
iPDC,100Hz,POJ-R,POJ-L,5.0,0.0195
iPDC,100Hz,POJ-R,SPOC-L,6.0,0.0273
iPDC,100Hz,S1-L,M1-R,4.0,0.0137
iPDC,100Hz,S1-L,PMd-R,5.0,0.0195
iPDC,100Hz,S1-R,V3-R,1.0,0.0039
iPDC,100Hz,S1-R,VIP-L,1.0,0.0039
iPDC,100Hz,SMA-R,VIP-R,5.0,0.0195
iPDC,100Hz,SPL-L,AG-R,4.0,0.0137
iPDC,100Hz,SPL-L,S1-L,4.0,0.0137
iPDC,100Hz,SPL-L,SPOC-R,6.0,0.0273
iPDC,100Hz,SPL-L,STS-L,8.0,0.0488
iPDC,100Hz,SPOC-L,FEF-L,8.0,0.0488
iPDC,100Hz,SPOC-L,IPL-L,7.0,0.0371
iPDC,100Hz,SPOC-L,SPOC-R,7.0,0.0371
iPDC,100Hz,STS-R,V1-L,6.0,0.0273
iPDC,100Hz,V1-L,M1-R,6.0,0.0273
iPDC,100Hz,V1-L,PMd-L,7.0,0.0371
iPDC,100Hz,V1-L,SMA-R,8.0,0.0488
iPDC,100Hz,V1-L,SPOC-R,5.0,0.0195
iPDC,100Hz,V1-R,AG-L,8.0,0.0488
iPDC,100Hz,V3-R,SPL-L,1.0,0.0039
iPDC,100Hz,V3-R,V1-L,6.0,0.0273
iPDC,100Hz,V3-R,mIPS-L,0.0,0.002
iPDC,100Hz,VIP-L,S1-L,5.0,0.0195
iPDC,100Hz,VIP-R,M1-L,3.0,0.0098
iPDC,100Hz,VIP-R,STS-R,8.0,0.0488
iPDC,100Hz,mIPS-L,S1-L,7.0,0.0371
iPDC,100Hz,mIPS-L,mIPS-R,7.0,0.0371
iPDC,100Hz,mIPS-R,SMA-R,8.0,0.0488
iPDC,10Hz,AG-L,SPL-R,8.0,0.0488
iPDC,10Hz,AG-R,PMd-L,3.0,0.0098
