Frequency,Region_From,Region_To,W_Stat,P_value
100Hz,AG-R,POJ-R,8.0,0.0488
100Hz,AG-R,POJ-R,2.0,0.0059
100Hz,AG-R,STS-R,7.0,0.0371
100Hz,FEF-L,M1-R,6.0,0.0273
100Hz,FEF-L,S1-R,7.0,0.0371
100Hz,FEF-R,M1-R,5.0,0.0195
100Hz,FEF-R,PMv-L,7.0,0.0371
100Hz,FEF-R,S1-L,8.0,0.0488
100Hz,FEF-R,SPOC-R,7.0,0.0371
100Hz,FEF-R,SPOC-R,8.0,0.0488
100Hz,M1-L,AG-L,8.0,0.0488
100Hz,M1-L,PMd-R,7.0,0.0371
100Hz,M1-R,PMd-R,7.0,0.0371
100Hz,M1-R,PMd-R,8.0,0.0488
100Hz,M1-R,STS-L,7.0,0.0371
100Hz,M1-R,STS-L,3.0,0.0098
100Hz,PMd-R,IPL-R,5.0,0.0195
100Hz,PMd-R,S1-L,8.0,0.0488
100Hz,PMv-L,PMd-L,8.0,0.0488
100Hz,PMv-L,PMd-L,7.0,0.0371
100Hz,PMv-L,SPL-R,6.0,0.0273
100Hz,PMv-L,SPL-R,7.0,0.0371
100Hz,PMv-R,S1-L,1.0,0.0039
100Hz,PMv-R,S1-L,0.0,0.002
100Hz,PMv-R,SPOC-L,8.0,0.0488
100Hz,PMv-R,STS-R,1.0,0.0039
100Hz,PMv-R,STS-R,5.0,0.0195
100Hz,POJ-L,SMA-R,1.0,0.0039
100Hz,POJ-L,SMA-R,2.0,0.0059
100Hz,POJ-L,SPL-L,8.0,0.0488
100Hz,POJ-R,SMA-L,8.0,0.0488
100Hz,POJ-R,SPOC-R,6.0,0.0273
100Hz,POJ-R,V1-L,8.0,0.0488
100Hz,POJ-R,V1-L,7.0,0.0371
100Hz,S1-L,POJ-L,6.0,0.0273
100Hz,S1-L,POJ-L,4.0,0.0137
100Hz,S1-R,AG-R,1.0,0.0039
100Hz,S1-R,AG-R,4.0,0.0137
100Hz,S1-R,SMA-R,6.0,0.0273
100Hz,S1-R,V1-L,3.0,0.0098
100Hz,S1-R,V1-L,6.0,0.0273
100Hz,S1-R,V3-L,6.0,0.0273
100Hz,S1-R,V3-L,8.0,0.0488
100Hz,S1-R,VIP-R,7.0,0.0371
100Hz,SMA-L,PMv-L,3.0,0.0098
100Hz,SMA-L,PMv-L,8.0,0.0488
100Hz,SMA-L,S1-R,6.0,0.0273
100Hz,SMA-L,S1-R,4.0,0.0137
100Hz,SMA-L,V1-L,3.0,0.0098
100Hz,SMA-L,V1-L,4.0,0.0137
100Hz,SMA-L,mIPS-R,7.0,0.0371
100Hz,SMA-R,PMv-L,7.0,0.0371
100Hz,SMA-R,SPOC-L,8.0,0.0488
100Hz,SPL-L,V3-L,7.0,0.0371
100Hz,SPL-R,PMv-R,5.0,0.0195
100Hz,SPL-R,PMv-R,4.0,0.0137
100Hz,SPOC-L,PMv-L,8.0,0.0488
100Hz,SPOC-L,SPL-R,8.0,0.0488
100Hz,SPOC-R,M1-L,4.0,0.0137
100Hz,SPOC-R,M1-L,6.0,0.0273
100Hz,SPOC-R,V3-R,1.0,0.0039
100Hz,SPOC-R,V3-R,3.0,0.0098
100Hz,SPOC-R,VIP-L,6.0,0.0273
100Hz,STS-L,S1-L,8.0,0.0488
100Hz,STS-L,S1-L,7.0,0.0371
100Hz,STS-R,AG-L,6.0,0.0273
100Hz,STS-R,VIP-L,6.0,0.0273
100Hz,STS-R,VIP-L,7.0,0.0371
100Hz,STS-R,VIP-R,7.0,0.0371
100Hz,STS-R,mIPS-R,8.0,0.0488
100Hz,STS-R,mIPS-R,5.0,0.0195
100Hz,V1-L,PMv-R,8.0,0.0488
100Hz,V1-R,PMv-L,6.0,0.0273
100Hz,V1-R,PMv-L,6.0,0.0273
100Hz,V1-R,POJ-R,8.0,0.0488
100Hz,V1-R,POJ-R,7.0,0.0371
100Hz,V1-R,SPL-R,8.0,0.0488
100Hz,V1-R,SPOC-R,1.0,0.0039
100Hz,V1-R,SPOC-R,2.0,0.0059
100Hz,V3-L,AG-L,8.0,0.0488
100Hz,V3-L,V3-R,3.0,0.0098
100Hz,V3-L,V3-R,3.0,0.0098
100Hz,V3-R,AG-L,7.0,0.0371
100Hz,V3-R,mIPS-L,7.0,0.0371
100Hz,VIP-L,S1-L,8.0,0.0488
100Hz,VIP-R,M1-R,7.0,0.0371
100Hz,VIP-R,POJ-R,7.0,0.0371
100Hz,VIP-R,POJ-R,3.0,0.0098
100Hz,mIPS-L,SMA-R,1.0,0.0039
100Hz,mIPS-L,SMA-R,2.0,0.0059
100Hz,mIPS-R,PMv-R,1.0,0.0039
100Hz,mIPS-R,PMv-R,1.0,0.0039
100Hz,mIPS-R,POJ-L,6.0,0.0273
10Hz,AG-L,IPL-R,8.0,0.0488
10Hz,AG-L,PMv-L,8.0,0.0488
10Hz,AG-L,SPL-R,5.0,0.0195
10Hz,AG-L,SPL-R,2.0,0.0059
10Hz,AG-L,STS-L,7.0,0.0371
10Hz,AG-L,STS-L,5.0,0.0195
10Hz,AG-R,PMv-L,7.0,0.0371
10Hz,AG-R,V1-R,0.0,0.002
10Hz,AG-R,V1-R,3.0,0.0098
10Hz,AG-R,V3-R,7.0,0.0371
10Hz,AG-R,mIPS-L,7.0,0.0371
10Hz,FEF-L,V1-L,7.0,0.0371
10Hz,FEF-L,V3-R,7.0,0.0371
10Hz,FEF-L,V3-R,7.0,0.0371
10Hz,FEF-L,mIPS-R,3.0,0.0098
10Hz,FEF-R,V1-L,5.0,0.0195
10Hz,FEF-R,VIP-L,6.0,0.0273
10Hz,IPL-R,AG-R,8.0,0.0488
10Hz,IPL-R,SMA-L,7.0,0.0371
10Hz,IPL-R,V3-L,0.0,0.002
10Hz,IPL-R,V3-L,3.0,0.0098
10Hz,M1-L,FEF-L,8.0,0.0488
10Hz,M1-R,AG-R,8.0,0.0488
10Hz,M1-R,SPOC-L,3.0,0.0098
10Hz,M1-R,SPOC-L,1.0,0.0039
10Hz,M1-R,mIPS-R,5.0,0.0195
10Hz,M1-R,mIPS-R,8.0,0.0488
10Hz,PMd-L,IPL-L,8.0,0.0488
10Hz,PMv-L,M1-L,6.0,0.0273
10Hz,PMv-L,M1-L,8.0,0.0488
