Method,Frequency,Region_from,Region_to,W_stat,p_value
iPDC,10,V1L,V3L,28,1
iPDC,10,V1L,SPOCL,23,0.6953125
iPDC,10,V1L,AGL,19,0.431640625
iPDC,10,V1L,POJL,26,0.921875
iPDC,10,V1L,SPLL,20,0.4921875
iPDC,10,V1L,mIPSL,25,0.845703125
iPDC,10,V1L,VIPL,16,0.275390625
iPDC,10,V1L,IPLL,17,0.322265625
iPDC,10,V1L,STSL,22,0.625
iPDC,10,V1L,S1L,28,1
iPDC,10,V1L,M1L,16,0.275390625
iPDC,10,V1L,SMAL,31,0.76953125
iPDC,10,V1L,PMdL,23,0.6953125
iPDC,10,V1L,FEFL,33,0.625
iPDC,10,V1L,PMvL,16,0.275390625
iPDC,10,V1L,V1R,19,0.431640625
iPDC,10,V1L,V3R,23,0.6953125
iPDC,10,V1L,SPOCR,26,0.921875
iPDC,10,V1L,AGR,36,0.431640625
iPDC,10,V1L,POJR,19,0.431640625
iPDC,10,V1L,SPLR,32,0.6953125
iPDC,10,V1L,mIPSR,30,0.845703125
iPDC,10,V1L,VIPR,26,0.921875
iPDC,10,V1L,IPLR,16,0.275390625
iPDC,10,V1L,STSR,27,1
iPDC,10,V1L,S1R,31,0.76953125
iPDC,10,V1L,M1R,19,0.431640625
iPDC,10,V1L,SMAR,21,0.556640625
iPDC,10,V1L,PMdR,32,0.6953125
iPDC,10,V1L,FEFR,29,0.921875
iPDC,10,V1L,PMvR,28,1
iPDC,10,V3L,V1L,50,0.01953125
iPDC,10,V3L,SPOCL,45,0.083984375
iPDC,10,V3L,AGL,29,0.921875
iPDC,10,V3L,POJL,22,0.625
iPDC,10,V3L,SPLL,38,0.322265625
iPDC,10,V3L,mIPSL,27,1
iPDC,10,V3L,VIPL,22,0.625
iPDC,10,V3L,IPLL,19,0.431640625
iPDC,10,V3L,STSL,24,0.76953125
iPDC,10,V3L,S1L,25,0.845703125
iPDC,10,V3L,M1L,23,0.6953125
iPDC,10,V3L,SMAL,29,0.921875
iPDC,10,V3L,PMdL,43,0.130859375
iPDC,10,V3L,FEFL,31,0.76953125
iPDC,10,V3L,PMvL,24,0.76953125
iPDC,10,V3L,V1R,29,0.921875
iPDC,10,V3L,V3R,25,0.845703125
iPDC,10,V3L,SPOCR,37,0.375
iPDC,10,V3L,AGR,36,0.431640625
iPDC,10,V3L,POJR,38,0.322265625
iPDC,10,V3L,SPLR,21,0.556640625
iPDC,10,V3L,mIPSR,25,0.845703125
iPDC,10,V3L,VIPR,28,1
iPDC,10,V3L,IPLR,38,0.322265625
iPDC,10,V3L,STSR,35,0.4921875
iPDC,10,V3L,S1R,31,0.76953125
iPDC,10,V3L,M1R,33,0.625
iPDC,10,V3L,SMAR,28,1
iPDC,10,V3L,PMdR,22,0.625
iPDC,10,V3L,FEFR,24,0.76953125
iPDC,10,V3L,PMvR,23,0.6953125
iPDC,10,SPOCL,V1L,23,0.6953125
iPDC,10,SPOCL,V3L,35,0.4921875
iPDC,10,SPOCL,AGL,29,0.921875
iPDC,10,SPOCL,POJL,39,0.275390625
iPDC,10,SPOCL,SPLL,31,0.76953125
iPDC,10,SPOCL,mIPSL,31,0.76953125
iPDC,10,SPOCL,VIPL,40,0.232421875
iPDC,10,SPOCL,IPLL,18,0.375
iPDC,10,SPOCL,STSL,23,0.6953125
iPDC,10,SPOCL,S1L,27,1
iPDC,10,SPOCL,M1L,36,0.431640625
iPDC,10,SPOCL,SMAL,27,1
iPDC,10,SPOCL,PMdL,48,0.037109375
iPDC,10,SPOCL,FEFL,11,0.10546875
iPDC,10,SPOCL,PMvL,26,0.921875
iPDC,10,SPOCL,V1R,38,0.322265625
iPDC,10,SPOCL,V3R,44,0.10546875
iPDC,10,SPOCL,SPOCR,35,0.4921875
iPDC,10,SPOCL,AGR,14,0.193359375
iPDC,10,SPOCL,POJR,28,1
iPDC,10,SPOCL,SPLR,23,0.6953125
iPDC,10,SPOCL,mIPSR,28,1
iPDC,10,SPOCL,VIPR,22,0.625
iPDC,10,SPOCL,IPLR,17,0.322265625
iPDC,10,SPOCL,STSR,29,0.921875
iPDC,10,SPOCL,S1R,23,0.6953125
